KEGG	Genes
ko04080	Mhon_000781
ko04610	Mhon_000781
ko04979	Mhon_000781
ko05150	Mhon_000781
ko05164	Mhon_000781
ko00270	Mhon_000810
ko01100	Mhon_000810
ko01110	Mhon_000810
ko01230	Mhon_000810
ko00270	Mhon_000812
ko01100	Mhon_000812
ko01110	Mhon_000812
ko01230	Mhon_000812
ko03040	Mhon_000814
ko00511	Mhon_000820
ko00053	Mhon_000825
ko01100	Mhon_000825
ko04080	Mhon_000829
ko04730	Mhon_000829
ko04934	Mhon_000829
ko04080	Mhon_000833
ko04730	Mhon_000833
ko04934	Mhon_000833
ko00564	Mhon_000836
ko04725	Mhon_000836
ko00270	Mhon_000850
ko01100	Mhon_000850
ko00230	Mhon_000851
ko04022	Mhon_000851
ko04024	Mhon_000851
ko04270	Mhon_000851
ko04714	Mhon_000851
ko04921	Mhon_000851
ko04923	Mhon_000851
ko04924	Mhon_000851
ko04925	Mhon_000851
ko04080	Mhon_000875
ko04270	Mhon_000875
ko04080	Mhon_000876
ko04270	Mhon_000876
ko00280	Mhon_000884
ko00630	Mhon_000884
ko00640	Mhon_000884
ko00720	Mhon_000884
ko01100	Mhon_000884
ko01120	Mhon_000884
ko01200	Mhon_000884
ko03008	Mhon_000885
ko03013	Mhon_000885
ko05166	Mhon_000885
ko05169	Mhon_000885
ko03040	Mhon_000886
ko03040	Mhon_000889
ko04015	Mhon_000903
ko04145	Mhon_000903
ko04151	Mhon_000903
ko04360	Mhon_000903
ko04510	Mhon_000903
ko04512	Mhon_000903
ko04514	Mhon_000903
ko04530	Mhon_000903
ko04611	Mhon_000903
ko04670	Mhon_000903
ko04810	Mhon_000903
ko05100	Mhon_000903
ko05130	Mhon_000903
ko05131	Mhon_000903
ko05133	Mhon_000903
ko05140	Mhon_000903
ko05145	Mhon_000903
ko05165	Mhon_000903
ko05200	Mhon_000903
ko05205	Mhon_000903
ko05222	Mhon_000903
ko05410	Mhon_000903
ko05412	Mhon_000903
ko05414	Mhon_000903
ko04550	Mhon_000912
ko05202	Mhon_000912
ko05206	Mhon_000912
ko04550	Mhon_000913
ko05202	Mhon_000913
ko05206	Mhon_000913
ko04550	Mhon_000914
ko05202	Mhon_000914
ko05206	Mhon_000914
ko00562	Mhon_000918
ko01100	Mhon_000918
ko04011	Mhon_000918
ko04070	Mhon_000918
ko04072	Mhon_000918
ko04139	Mhon_000918
ko04144	Mhon_000918
ko04666	Mhon_000918
ko04810	Mhon_000918
ko05231	Mhon_000918
ko01522	Mhon_000921
ko02010	Mhon_000921
ko04976	Mhon_000921
ko04979	Mhon_000921
ko05206	Mhon_000921
ko05226	Mhon_000921
ko00512	Mhon_000933
ko01100	Mhon_000933
ko04970	Mhon_000953
ko04971	Mhon_000953
ko04972	Mhon_000953
ko04976	Mhon_000953
ko04970	Mhon_000954
ko04971	Mhon_000954
ko04972	Mhon_000954
ko04976	Mhon_000954
ko04080	Mhon_000960
ko04270	Mhon_000960
ko00600	Mhon_000963
ko01100	Mhon_000963
ko04071	Mhon_000963
ko00600	Mhon_000964
ko01100	Mhon_000964
ko04071	Mhon_000964
ko00600	Mhon_000965
ko01100	Mhon_000965
ko04071	Mhon_000965
ko04142	Mhon_000970
ko04216	Mhon_000970
ko04978	Mhon_000970
ko04010	Mhon_000971
ko04151	Mhon_000985
ko04510	Mhon_000985
ko04512	Mhon_000985
ko05165	Mhon_000985
ko05206	Mhon_000985
ko04151	Mhon_000986
ko04510	Mhon_000986
ko04512	Mhon_000986
ko05165	Mhon_000986
ko05206	Mhon_000986
ko04080	Mhon_001005
ko04740	Mhon_001087
ko00510	Mhon_001088
ko00513	Mhon_001088
ko01100	Mhon_001088
ko00510	Mhon_001089
ko00513	Mhon_001089
ko01100	Mhon_001089
ko00510	Mhon_001091
ko00513	Mhon_001091
ko01100	Mhon_001091
ko00510	Mhon_001092
ko00513	Mhon_001092
ko01100	Mhon_001092
ko00510	Mhon_001093
ko00513	Mhon_001093
ko01100	Mhon_001093
ko00510	Mhon_001094
ko00513	Mhon_001094
ko01100	Mhon_001094
ko00510	Mhon_001095
ko00513	Mhon_001095
ko01100	Mhon_001095
ko04080	Mhon_001099
ko04961	Mhon_001099
ko00561	Mhon_001102
ko01100	Mhon_001102
ko04972	Mhon_001102
ko04975	Mhon_001102
ko04977	Mhon_001102
ko04080	Mhon_001106
ko04961	Mhon_001106
ko04072	Mhon_001108
ko04144	Mhon_001108
ko05110	Mhon_001108
ko05134	Mhon_001108
ko04015	Mhon_001109
ko04062	Mhon_001109
ko04080	Mhon_001109
ko04144	Mhon_001109
ko04360	Mhon_001109
ko04390	Mhon_001109
ko04391	Mhon_001109
ko04520	Mhon_001109
ko04530	Mhon_001109
ko05165	Mhon_001109
ko04010	Mhon_001122
ko04014	Mhon_001122
ko04015	Mhon_001122
ko04066	Mhon_001122
ko04151	Mhon_001122
ko04970	Mhon_001122
ko05167	Mhon_001122
ko03010	Mhon_001123
ko05206	Mhon_001123
ko00330	Mhon_001132
ko00340	Mhon_001132
ko00380	Mhon_001132
ko01100	Mhon_001132
ko04070	Mhon_001134
ko04138	Mhon_001134
ko04360	Mhon_001145
ko05010	Mhon_001145
ko05030	Mhon_001145
ko00100	Mhon_001149
ko04979	Mhon_001149
ko03410	Mhon_001150
ko04210	Mhon_001150
ko04212	Mhon_001150
ko04214	Mhon_001150
ko04217	Mhon_001150
ko04141	Mhon_001151
ko04024	Mhon_001152
ko04080	Mhon_001152
ko04726	Mhon_001152
ko04742	Mhon_001152
ko05231	Mhon_001157
ko05231	Mhon_001158
ko03440	Mhon_001161
ko00190	Mhon_001162
ko01100	Mhon_001162
ko04714	Mhon_001162
ko05010	Mhon_001162
ko05012	Mhon_001162
ko05016	Mhon_001162
ko00750	Mhon_001163
ko01100	Mhon_001163
ko01120	Mhon_001163
ko00561	Mhon_001167
ko01100	Mhon_001167
ko04972	Mhon_001167
ko04975	Mhon_001167
ko04977	Mhon_001167
ko00330	Mhon_001174
ko03013	Mhon_001179
ko03015	Mhon_001179
ko04024	Mhon_001191
ko04080	Mhon_001191
ko04610	Mhon_001191
ko04971	Mhon_001191
ko05150	Mhon_001191
ko00250	Mhon_001205
ko00650	Mhon_001205
ko01100	Mhon_001205
ko01120	Mhon_001205
ko00010	Mhon_001210
ko00053	Mhon_001210
ko00071	Mhon_001210
ko00280	Mhon_001210
ko00310	Mhon_001210
ko00330	Mhon_001210
ko00340	Mhon_001210
ko00380	Mhon_001210
ko00410	Mhon_001210
ko00561	Mhon_001210
ko00620	Mhon_001210
ko01100	Mhon_001210
ko01110	Mhon_001210
ko01120	Mhon_001210
ko01130	Mhon_001210
ko04145	Mhon_001212
ko05152	Mhon_001212
ko04977	Mhon_001219
ko04977	Mhon_001220
ko03050	Mhon_001226
ko05169	Mhon_001226
ko00564	Mhon_001249
ko00981	Mhon_001249
ko00983	Mhon_001249
ko01100	Mhon_001249
ko04514	Mhon_001249
ko04725	Mhon_001249
ko04330	Mhon_001260
ko04640	Mhon_001290
ko05169	Mhon_001290
ko04530	Mhon_001297
ko00062	Mhon_001313
ko00120	Mhon_001313
ko00430	Mhon_001313
ko01040	Mhon_001313
ko01100	Mhon_001313
ko01110	Mhon_001313
ko04146	Mhon_001313
ko04976	Mhon_001313
ko00062	Mhon_001316
ko00071	Mhon_001316
ko00280	Mhon_001316
ko00281	Mhon_001316
ko00310	Mhon_001316
ko00380	Mhon_001316
ko00410	Mhon_001316
ko00627	Mhon_001316
ko00640	Mhon_001316
ko00650	Mhon_001316
ko00930	Mhon_001316
ko01100	Mhon_001316
ko01110	Mhon_001316
ko01120	Mhon_001316
ko01130	Mhon_001316
ko01200	Mhon_001316
ko01212	Mhon_001316
ko03320	Mhon_001316
ko04146	Mhon_001316
ko03008	Mhon_001332
ko03013	Mhon_001332
ko00512	Mhon_001334
ko01100	Mhon_001334
ko03008	Mhon_001354
ko03013	Mhon_001354
ko00512	Mhon_001358
ko01100	Mhon_001358
ko00071	Mhon_001368
ko00280	Mhon_001368
ko00592	Mhon_001368
ko01040	Mhon_001368
ko01100	Mhon_001368
ko01110	Mhon_001368
ko01130	Mhon_001368
ko01212	Mhon_001368
ko03320	Mhon_001368
ko04146	Mhon_001368
ko00910	Mhon_001380
ko04964	Mhon_001380
ko04966	Mhon_001380
ko04971	Mhon_001380
ko04972	Mhon_001380
ko04976	Mhon_001380
ko03040	Mhon_001398
ko00230	Mhon_001404
ko04066	Mhon_001411
ko04120	Mhon_001411
ko05200	Mhon_001411
ko05211	Mhon_001411
ko04066	Mhon_001413
ko04120	Mhon_001413
ko05200	Mhon_001413
ko05211	Mhon_001413
ko00512	Mhon_001423
ko01100	Mhon_001423
ko03008	Mhon_001427
ko04724	Mhon_001429
ko00860	Mhon_001441
ko01100	Mhon_001441
ko01110	Mhon_001441
ko01120	Mhon_001441
ko03015	Mhon_001461
ko04141	Mhon_001463
ko04144	Mhon_001464
ko04141	Mhon_001470
ko03010	Mhon_001485
ko03010	Mhon_001490
ko04024	Mhon_001495
ko04080	Mhon_001495
ko04934	Mhon_001495
ko04024	Mhon_001498
ko04080	Mhon_001498
ko04934	Mhon_001498
ko04145	Mhon_001508
ko04151	Mhon_001508
ko04510	Mhon_001508
ko04512	Mhon_001508
ko04514	Mhon_001508
ko04640	Mhon_001508
ko04810	Mhon_001508
ko05100	Mhon_001508
ko05131	Mhon_001508
ko05133	Mhon_001508
ko05165	Mhon_001508
ko05205	Mhon_001508
ko05206	Mhon_001508
ko05410	Mhon_001508
ko05412	Mhon_001508
ko05414	Mhon_001508
ko00513	Mhon_001518
ko01100	Mhon_001518
ko04080	Mhon_001524
ko04270	Mhon_001524
ko00562	Mhon_001527
ko01100	Mhon_001527
ko04070	Mhon_001527
ko04080	Mhon_001540
ko04080	Mhon_001545
ko04961	Mhon_001545
ko00981	Mhon_001562
ko00970	Mhon_001563
ko00340	Mhon_001565
ko00670	Mhon_001565
ko01100	Mhon_001565
ko00260	Mhon_001588
ko00680	Mhon_001588
ko01100	Mhon_001588
ko01120	Mhon_001588
ko01130	Mhon_001588
ko01200	Mhon_001588
ko01230	Mhon_001588
ko04724	Mhon_001590
ko04080	Mhon_001591
ko00590	Mhon_001600
ko01100	Mhon_001600
ko04664	Mhon_001600
ko04726	Mhon_001600
ko04913	Mhon_001600
ko05145	Mhon_001600
ko03018	Mhon_001602
ko04212	Mhon_001602
ko04940	Mhon_001602
ko05134	Mhon_001602
ko05152	Mhon_001602
ko03018	Mhon_001603
ko04212	Mhon_001603
ko04940	Mhon_001603
ko05134	Mhon_001603
ko05152	Mhon_001603
ko03018	Mhon_001604
ko04212	Mhon_001604
ko04940	Mhon_001604
ko05134	Mhon_001604
ko05152	Mhon_001604
ko00590	Mhon_001605
ko01100	Mhon_001605
ko04664	Mhon_001605
ko04726	Mhon_001605
ko04913	Mhon_001605
ko05145	Mhon_001605
ko03018	Mhon_001607
ko04212	Mhon_001607
ko04940	Mhon_001607
ko05134	Mhon_001607
ko05152	Mhon_001607
ko00740	Mhon_001632
ko01100	Mhon_001632
ko04142	Mhon_001632
ko00620	Mhon_001635
ko02010	Mhon_001636
ko03040	Mhon_001652
ko00240	Mhon_001653
ko01100	Mhon_001653
ko00240	Mhon_001654
ko01100	Mhon_001654
ko03320	Mhon_001663
ko04550	Mhon_001681
ko00053	Mhon_001695
ko01100	Mhon_001695
ko00053	Mhon_001703
ko01100	Mhon_001703
ko04080	Mhon_001704
ko04380	Mhon_001704
ko04934	Mhon_001704
ko05120	Mhon_001730
ko00531	Mhon_001768
ko01100	Mhon_001768
ko04142	Mhon_001768
ko00513	Mhon_001769
ko01100	Mhon_001769
ko00531	Mhon_001776
ko01100	Mhon_001776
ko04142	Mhon_001776
ko00531	Mhon_001779
ko01100	Mhon_001779
ko04142	Mhon_001779
ko00053	Mhon_001789
ko01100	Mhon_001789
ko03018	Mhon_001800
ko01522	Mhon_001823
ko02010	Mhon_001823
ko04976	Mhon_001823
ko04979	Mhon_001823
ko05206	Mhon_001823
ko05226	Mhon_001823
ko01522	Mhon_001824
ko02010	Mhon_001824
ko04976	Mhon_001824
ko04979	Mhon_001824
ko05206	Mhon_001824
ko05226	Mhon_001824
ko00512	Mhon_001826
ko01100	Mhon_001826
ko02010	Mhon_001827
ko04976	Mhon_001827
ko05206	Mhon_001827
ko05226	Mhon_001827
ko00512	Mhon_001828
ko01100	Mhon_001828
ko00230	Mhon_001875
ko00240	Mhon_001875
ko01100	Mhon_001875
ko03020	Mhon_001875
ko00230	Mhon_001878
ko00240	Mhon_001878
ko01100	Mhon_001878
ko03020	Mhon_001878
ko00250	Mhon_001894
ko01100	Mhon_001894
ko01110	Mhon_001894
ko05205	Mhon_001900
ko05205	Mhon_001902
ko04024	Mhon_001905
ko04080	Mhon_001905
ko04726	Mhon_001905
ko04742	Mhon_001905
ko00740	Mhon_001907
ko01100	Mhon_001907
ko04142	Mhon_001907
ko00740	Mhon_001908
ko01100	Mhon_001908
ko04142	Mhon_001908
ko04659	Mhon_001916
ko04710	Mhon_001916
ko05321	Mhon_001916
ko00590	Mhon_001917
ko01100	Mhon_001917
ko00512	Mhon_001920
ko01100	Mhon_001920
ko04136	Mhon_001923
ko04137	Mhon_001923
ko04138	Mhon_001923
ko04140	Mhon_001923
ko03010	Mhon_001929
ko03050	Mhon_001933
ko04612	Mhon_001933
ko05160	Mhon_001933
ko04610	Mhon_001935
ko04610	Mhon_001936
ko04714	Mhon_001941
ko05225	Mhon_001941
ko00512	Mhon_001964
ko01100	Mhon_001964
ko04068	Mhon_001968
ko04152	Mhon_001968
ko04211	Mhon_001968
ko04213	Mhon_001968
ko04371	Mhon_001968
ko04530	Mhon_001968
ko04710	Mhon_001968
ko04714	Mhon_001968
ko04910	Mhon_001968
ko04920	Mhon_001968
ko04921	Mhon_001968
ko04922	Mhon_001968
ko04931	Mhon_001968
ko04932	Mhon_001968
ko05410	Mhon_001968
ko00052	Mhon_001969
ko00511	Mhon_001969
ko00531	Mhon_001969
ko00600	Mhon_001969
ko00604	Mhon_001969
ko01100	Mhon_001969
ko04142	Mhon_001969
ko03040	Mhon_001970
ko03050	Mhon_001972
ko05169	Mhon_001972
ko04151	Mhon_001976
ko04510	Mhon_001976
ko04512	Mhon_001976
ko05165	Mhon_001976
ko05206	Mhon_001976
ko03050	Mhon_001977
ko05169	Mhon_001977
ko04141	Mhon_001986
ko04918	Mhon_001986
ko05110	Mhon_001986
ko04141	Mhon_001988
ko04918	Mhon_001988
ko05110	Mhon_001988
ko03050	Mhon_002005
ko01524	Mhon_002006
ko04115	Mhon_002006
ko04151	Mhon_002006
ko04210	Mhon_002006
ko04214	Mhon_002006
ko04215	Mhon_002006
ko04217	Mhon_002006
ko04370	Mhon_002006
ko04620	Mhon_002006
ko04621	Mhon_002006
ko04622	Mhon_002006
ko04624	Mhon_002006
ko04657	Mhon_002006
ko04668	Mhon_002006
ko04919	Mhon_002006
ko04932	Mhon_002006
ko05010	Mhon_002006
ko05012	Mhon_002006
ko05014	Mhon_002006
ko05016	Mhon_002006
ko05134	Mhon_002006
ko05142	Mhon_002006
ko05145	Mhon_002006
ko05152	Mhon_002006
ko05161	Mhon_002006
ko05164	Mhon_002006
ko05165	Mhon_002006
ko05167	Mhon_002006
ko05168	Mhon_002006
ko05200	Mhon_002006
ko05203	Mhon_002006
ko05210	Mhon_002006
ko05212	Mhon_002006
ko05213	Mhon_002006
ko05215	Mhon_002006
ko05222	Mhon_002006
ko05223	Mhon_002006
ko05416	Mhon_002006
ko00512	Mhon_002027
ko01100	Mhon_002027
ko00900	Mhon_002049
ko01100	Mhon_002049
ko01110	Mhon_002049
ko01130	Mhon_002049
ko01524	Mhon_002055
ko03430	Mhon_002055
ko03460	Mhon_002055
ko05200	Mhon_002055
ko05210	Mhon_002055
ko05213	Mhon_002055
ko05226	Mhon_002055
ko01524	Mhon_002059
ko03430	Mhon_002059
ko03460	Mhon_002059
ko05200	Mhon_002059
ko05210	Mhon_002059
ko05213	Mhon_002059
ko05226	Mhon_002059
ko00072	Mhon_002064
ko00650	Mhon_002064
ko00830	Mhon_002064
ko01100	Mhon_002064
ko04022	Mhon_002065
ko04024	Mhon_002065
ko04151	Mhon_002065
ko04152	Mhon_002065
ko04211	Mhon_002065
ko04261	Mhon_002065
ko04380	Mhon_002065
ko04612	Mhon_002065
ko04668	Mhon_002065
ko04710	Mhon_002065
ko04713	Mhon_002065
ko04714	Mhon_002065
ko04725	Mhon_002065
ko04728	Mhon_002065
ko04911	Mhon_002065
ko04915	Mhon_002065
ko04916	Mhon_002065
ko04918	Mhon_002065
ko04922	Mhon_002065
ko04924	Mhon_002065
ko04925	Mhon_002065
ko04926	Mhon_002065
ko04927	Mhon_002065
ko04931	Mhon_002065
ko04934	Mhon_002065
ko04962	Mhon_002065
ko05016	Mhon_002065
ko05030	Mhon_002065
ko05031	Mhon_002065
ko05034	Mhon_002065
ko05152	Mhon_002065
ko05161	Mhon_002065
ko05165	Mhon_002065
ko05166	Mhon_002065
ko05167	Mhon_002065
ko05203	Mhon_002065
ko05215	Mhon_002065
ko00140	Mhon_002067
ko00590	Mhon_002067
ko00591	Mhon_002067
ko00830	Mhon_002067
ko01100	Mhon_002067
ko04611	Mhon_002067
ko05204	Mhon_002067
ko00140	Mhon_002068
ko00590	Mhon_002068
ko00591	Mhon_002068
ko00830	Mhon_002068
ko01100	Mhon_002068
ko04611	Mhon_002068
ko05204	Mhon_002068
ko00140	Mhon_002069
ko00590	Mhon_002069
ko00591	Mhon_002069
ko00830	Mhon_002069
ko01100	Mhon_002069
ko04611	Mhon_002069
ko05204	Mhon_002069
ko00140	Mhon_002070
ko00590	Mhon_002070
ko00591	Mhon_002070
ko00830	Mhon_002070
ko01100	Mhon_002070
ko04611	Mhon_002070
ko05204	Mhon_002070
ko00250	Mhon_002112
ko03410	Mhon_002114
ko05340	Mhon_002114
ko05010	Mhon_002133
ko05030	Mhon_002133
ko00480	Mhon_002134
ko01100	Mhon_002134
ko04614	Mhon_002134
ko04640	Mhon_002134
ko01521	Mhon_002155
ko01522	Mhon_002155
ko01524	Mhon_002155
ko04014	Mhon_002155
ko04064	Mhon_002155
ko04066	Mhon_002155
ko04071	Mhon_002155
ko04137	Mhon_002155
ko04140	Mhon_002155
ko04141	Mhon_002155
ko04151	Mhon_002155
ko04210	Mhon_002155
ko04215	Mhon_002155
ko04217	Mhon_002155
ko04261	Mhon_002155
ko04340	Mhon_002155
ko04510	Mhon_002155
ko04621	Mhon_002155
ko04630	Mhon_002155
ko04722	Mhon_002155
ko04725	Mhon_002155
ko04915	Mhon_002155
ko04933	Mhon_002155
ko05014	Mhon_002155
ko05145	Mhon_002155
ko05152	Mhon_002155
ko05161	Mhon_002155
ko05166	Mhon_002155
ko05169	Mhon_002155
ko05200	Mhon_002155
ko05202	Mhon_002155
ko05206	Mhon_002155
ko05210	Mhon_002155
ko05212	Mhon_002155
ko05215	Mhon_002155
ko05220	Mhon_002155
ko05222	Mhon_002155
ko05225	Mhon_002155
ko05226	Mhon_002155
ko05418	Mhon_002155
ko01521	Mhon_002156
ko01522	Mhon_002156
ko01524	Mhon_002156
ko04014	Mhon_002156
ko04064	Mhon_002156
ko04066	Mhon_002156
ko04071	Mhon_002156
ko04137	Mhon_002156
ko04140	Mhon_002156
ko04141	Mhon_002156
ko04151	Mhon_002156
ko04210	Mhon_002156
ko04215	Mhon_002156
ko04217	Mhon_002156
ko04261	Mhon_002156
ko04340	Mhon_002156
ko04510	Mhon_002156
ko04621	Mhon_002156
ko04630	Mhon_002156
ko04722	Mhon_002156
ko04725	Mhon_002156
ko04915	Mhon_002156
ko04933	Mhon_002156
ko05014	Mhon_002156
ko05145	Mhon_002156
ko05152	Mhon_002156
ko05161	Mhon_002156
ko05166	Mhon_002156
ko05169	Mhon_002156
ko05200	Mhon_002156
ko05202	Mhon_002156
ko05206	Mhon_002156
ko05210	Mhon_002156
ko05212	Mhon_002156
ko05215	Mhon_002156
ko05220	Mhon_002156
ko05222	Mhon_002156
ko05225	Mhon_002156
ko05226	Mhon_002156
ko05418	Mhon_002156
ko01521	Mhon_002162
ko01522	Mhon_002162
ko01524	Mhon_002162
ko04014	Mhon_002162
ko04064	Mhon_002162
ko04066	Mhon_002162
ko04071	Mhon_002162
ko04137	Mhon_002162
ko04140	Mhon_002162
ko04141	Mhon_002162
ko04151	Mhon_002162
ko04210	Mhon_002162
ko04215	Mhon_002162
ko04217	Mhon_002162
ko04261	Mhon_002162
ko04340	Mhon_002162
ko04510	Mhon_002162
ko04621	Mhon_002162
ko04630	Mhon_002162
ko04722	Mhon_002162
ko04725	Mhon_002162
ko04915	Mhon_002162
ko04933	Mhon_002162
ko05014	Mhon_002162
ko05145	Mhon_002162
ko05152	Mhon_002162
ko05161	Mhon_002162
ko05166	Mhon_002162
ko05169	Mhon_002162
ko05200	Mhon_002162
ko05202	Mhon_002162
ko05206	Mhon_002162
ko05210	Mhon_002162
ko05212	Mhon_002162
ko05215	Mhon_002162
ko05220	Mhon_002162
ko05222	Mhon_002162
ko05225	Mhon_002162
ko05226	Mhon_002162
ko05418	Mhon_002162
ko01521	Mhon_002163
ko01522	Mhon_002163
ko01524	Mhon_002163
ko04014	Mhon_002163
ko04064	Mhon_002163
ko04066	Mhon_002163
ko04071	Mhon_002163
ko04137	Mhon_002163
ko04140	Mhon_002163
ko04141	Mhon_002163
ko04151	Mhon_002163
ko04210	Mhon_002163
ko04215	Mhon_002163
