ko	Genes
K12324	Mhon_000851
K04577	Mhon_000875
K04577	Mhon_000876
K01847	Mhon_000884
K07936	Mhon_000885
K12818	Mhon_000886
K05544	Mhon_000887
K05544	Mhon_000888
K12818	Mhon_000889
K05719	Mhon_000903
K09884	Mhon_000903
K11459	Mhon_000912
K11459	Mhon_000913
K11459	Mhon_000914
K00889	Mhon_000918
K00920	Mhon_000918
K14841	Mhon_000919
K05658	Mhon_000921
K05659	Mhon_000921
K05664	Mhon_000921
K20636	Mhon_000930
K20637	Mhon_000930
K00710	Mhon_000933
K17455	Mhon_000951
K13855	Mhon_000953
K13858	Mhon_000953
K13859	Mhon_000953
K13861	Mhon_000953
K13855	Mhon_000954
K13858	Mhon_000954
K13859	Mhon_000954
K13861	Mhon_000954
K04577	Mhon_000960
K04710	Mhon_000963
K04710	Mhon_000964
K04710	Mhon_000965
K21398	Mhon_000970
K04424	Mhon_000971
K10104	Mhon_000983
K10104	Mhon_000984
K06252	Mhon_000985
K06252	Mhon_000986
K10104	Mhon_000994
K10104	Mhon_000995
K10104	Mhon_000997
K08374	Mhon_001005
K15186	Mhon_001007
K08835	Mhon_001029
K08835	Mhon_001032
K06695	Mhon_001040
K09452	Mhon_001070
K13752	Mhon_001087
K13753	Mhon_001087
K13748	Mhon_001088
K13748	Mhon_001089
K13748	Mhon_001091
K13748	Mhon_001092
K13748	Mhon_001093
K13748	Mhon_001094
K13748	Mhon_001095
K04585	Mhon_001099
K04586	Mhon_001099
K04589	Mhon_001099
K14073	Mhon_001102
K14075	Mhon_001102
K04585	Mhon_001106
K04586	Mhon_001106
K04589	Mhon_001106
K07937	Mhon_001108
K04237	Mhon_001109
K18588	Mhon_001114
K07435	Mhon_001116
K07435	Mhon_001118
K18588	Mhon_001121
K05466	Mhon_001122
K10104	Mhon_001122
K13912	Mhon_001122
K02888	Mhon_001123
K17391	Mhon_001123
K10180	Mhon_001125
K10183	Mhon_001125
K11182	Mhon_001132
K07756	Mhon_001134
K11670	Mhon_001137
K11680	Mhon_001137
K15716	Mhon_001138
K15502	Mhon_001139
K15502	Mhon_001142
K02090	Mhon_001145
K00637	Mhon_001149
K10798	Mhon_001150
K14020	Mhon_001151
K04153	Mhon_001152
K08202	Mhon_001157
K17662	Mhon_001157
K08202	Mhon_001158
K17662	Mhon_001158
K12168	Mhon_001160
K10683	Mhon_001161
K02133	Mhon_001162
K00275	Mhon_001163
K14073	Mhon_001167
K14075	Mhon_001167
K19404	Mhon_001167
K15382	Mhon_001168
K14827	Mhon_001169
K22400	Mhon_001172
K22400	Mhon_001173
K01259	Mhon_001174
K21396	Mhon_001175
K21396	Mhon_001176
K21396	Mhon_001177
K14294	Mhon_001179
K04009	Mhon_001191
K04218	Mhon_001191
K11536	Mhon_001201
K08360	Mhon_001203
K11374	Mhon_001204
K00139	Mhon_001205
K19373	Mhon_001206
K11978	Mhon_001208
K17455	Mhon_001208
K09884	Mhon_001209
K00149	Mhon_001210
K06560	Mhon_001212
K17513	Mhon_001212
K14388	Mhon_001213
K14386	Mhon_001219
K14388	Mhon_001219
K14386	Mhon_001220
K14388	Mhon_001220
K03036	Mhon_001226
K01044	Mhon_001249
K01049	Mhon_001249
K01050	Mhon_001249
K01063	Mhon_001249
K03927	Mhon_001249
K07378	Mhon_001249
K14999	Mhon_001249
K06066	Mhon_001260
K14440	Mhon_001270
K13295	Mhon_001271
K06468	Mhon_001290
K21111	Mhon_001297
K21396	Mhon_001299
K14863	Mhon_001300
K15456	Mhon_001300
K14863	Mhon_001301
K15456	Mhon_001301
K13163	Mhon_001303
K14820	Mhon_001303
K00659	Mhon_001313
K01068	Mhon_001313
K10270	Mhon_001315
K00022	Mhon_001316
K07514	Mhon_001316
K08856	Mhon_001330
K14525	Mhon_001332
K18420	Mhon_001333
K00710	Mhon_001334
K08856	Mhon_001352
K14525	Mhon_001354
K18420	Mhon_001357
K00710	Mhon_001358
K07513	Mhon_001368
K11536	Mhon_001372
K11536	Mhon_001375
K01672	Mhon_001380
K18245	Mhon_001380
K12835	Mhon_001398
K01769	Mhon_001404
K16573	Mhon_001404
K03870	Mhon_001411
K07858	Mhon_001412
K07859	Mhon_001412
K03870	Mhon_001413
K19870	Mhon_001414
K07858	Mhon_001415
K07859	Mhon_001415
K00710	Mhon_001423
K14570	Mhon_001427
K05614	Mhon_001429
K20185	Mhon_001434
K01749	Mhon_001441
K17925	Mhon_001442
K00671	Mhon_001443
K14399	Mhon_001461
K09508	Mhon_001463
K09512	Mhon_001463
K12188	Mhon_001464
K09580	Mhon_001470
K02901	Mhon_001485
K14358	Mhon_001489
K02901	Mhon_001490
K04579	Mhon_001495
K04590	Mhon_001495
K04579	Mhon_001498
K04590	Mhon_001498
K06484	Mhon_001508
K06584	Mhon_001508
K15264	Mhon_001513
K03714	Mhon_001518
K04577	Mhon_001524
K08819	Mhon_001526
K01107	Mhon_001527
K05053	Mhon_001540
K04585	Mhon_001545
K04586	Mhon_001545
K04589	Mhon_001545
K08465	Mhon_001549
K10864	Mhon_001552
K08520	Mhon_001558
K01409	Mhon_001562
K10721	Mhon_001562
K01880	Mhon_001563
K13990	Mhon_001565
K00058	Mhon_001588
K05614	Mhon_001590
K04811	Mhon_001591
K05312	Mhon_001591
K00461	Mhon_001600
K04077	Mhon_001602
K04077	Mhon_001603
K04077	Mhon_001604
K00461	Mhon_001605
K04077	Mhon_001607
K04078	Mhon_001608
K14410	Mhon_001632
K01069	Mhon_001635
K05661	Mhon_001636
K05663	Mhon_001636
K12858	Mhon_001652
K13809	Mhon_001653
K13809	Mhon_001654
K05312	Mhon_001659
K08762	Mhon_001663
K04669	Mhon_001676
K05497	Mhon_001676
K04669	Mhon_001677
K05497	Mhon_001677
K11138	Mhon_001681
K11536	Mhon_001688
K11536	Mhon_001690
K00423	Mhon_001695
K00423	Mhon_001703
K04576	Mhon_001704
K04579	Mhon_001704
K05728	Mhon_001730
K01273	Mhon_001739
K01273	Mhon_001741
K19511	Mhon_001742
K16753	Mhon_001743
K10532	Mhon_001768
K00753	Mhon_001769
K14464	Mhon_001769
K10532	Mhon_001776
K10532	Mhon_001779
K00423	Mhon_001789
K13099	Mhon_001791
K11536	Mhon_001795
K11536	Mhon_001796
K11536	Mhon_001797
K12571	Mhon_001800
K05658	Mhon_001823
K05659	Mhon_001823
K05664	Mhon_001823
K05658	Mhon_001824
K05659	Mhon_001824
K05664	Mhon_001824
K00731	Mhon_001826
K05658	Mhon_001827
K05659	Mhon_001827
K00731	Mhon_001828
K03002	Mhon_001875
K06185	Mhon_001876
K03002	Mhon_001878
K01953	Mhon_001894
K09069	Mhon_001900
K09069	Mhon_001902
K04153	Mhon_001905
K14410	Mhon_001907
K19283	Mhon_001907
K14410	Mhon_001908
K19283	Mhon_001908
K10645	Mhon_001911
K15259	Mhon_001915
K15261	Mhon_001915
K08532	Mhon_001916
K08533	Mhon_001916
K08701	Mhon_001916
K14033	Mhon_001916
K15730	Mhon_001917
K00731	Mhon_001920
K17907	Mhon_001923
K01273	Mhon_001924
K02921	Mhon_001929
K14816	Mhon_001930
K06698	Mhon_001933
K03910	Mhon_001935
K03910	Mhon_001936
K11650	Mhon_001941
K00710	Mhon_001964
K07200	Mhon_001968
K20346	Mhon_001968
K12309	Mhon_001969
K12821	Mhon_001970
K03033	Mhon_001972
K06252	Mhon_001976
K03033	Mhon_001977
K10104	Mhon_001979
K09582	Mhon_001986
K09582	Mhon_001988
K02735	Mhon_002005
K04396	Mhon_002006
K04398	Mhon_002006
K04399	Mhon_002006
K04905	Mhon_002011
K00710	Mhon_002027
K17560	Mhon_002031
K01823	Mhon_002049
K18027	Mhon_002050
K18037	Mhon_002050
K08734	Mhon_002055
K08734	Mhon_002059
K00019	Mhon_002064
K11154	Mhon_002064
K05870	Mhon_002065
K09050	Mhon_002065
K01832	Mhon_002067
K07424	Mhon_002067
K14999	Mhon_002067
K01832	Mhon_002068
K07424	Mhon_002068
K01832	Mhon_002069
K07424	Mhon_002069
K14999	Mhon_002069
K01832	Mhon_002070
K07424	Mhon_002070
K14999	Mhon_002070
K14997	Mhon_002083
K13101	Mhon_002112
K13566	Mhon_002112
K03648	Mhon_002114
K10356	Mhon_002132
K11716	Mhon_002133
K01306	Mhon_002134
K11140	Mhon_002134
K11141	Mhon_002134
K20283	Mhon_002142
K02161	Mhon_002155
K04570	Mhon_002155
K02161	Mhon_002156
K04570	Mhon_002156
K02161	Mhon_002162
K04570	Mhon_002162
K02161	Mhon_002163
K04570	Mhon_002163
K04225	Mhon_002178
K08375	Mhon_002178
K01291	Mhon_002179
K01298	Mhon_002179
K04515	Mhon_002179
K04710	Mhon_002185
K05719	Mhon_002195
K09884	Mhon_002195
K05719	Mhon_002198
K09884	Mhon_002198
K05719	Mhon_002203
K09884	Mhon_002203
K19511	Mhon_002205
K19511	Mhon_002206
K19511	Mhon_002213
K19511	Mhon_002214
K19511	Mhon_002215
K13297	Mhon_002222
K03392	Mhon_002228
K00485	Mhon_002230
K18426	Mhon_002245
K08041	Mhon_002247
K08045	Mhon_002247
K08734	Mhon_002315
K01192	Mhon_002330
K01183	Mhon_002332
K20407	Mhon_002333
K00923	Mhon_002348
K10408	Mhon_002350
K19758	Mhon_002364
K12617	Mhon_002370
K19801	Mhon_002371
K01115	Mhon_002383
K11253	Mhon_002387
K11254	Mhon_002387
K07426	Mhon_002398
K15111	Mhon_002402
K01824	Mhon_002427
K11757	Mhon_002438
K11757	Mhon_002439
K08150	Mhon_002440
K00036	Mhon_002442
K20392	Mhon_002445
K20393	Mhon_002445
K10686	Mhon_002446
K05768	Mhon_002448
K19410	Mhon_002453
K04702	Mhon_002454
K08807	Mhon_002454
K00444	Mhon_002473
K00444	Mhon_002474
K10280	Mhon_002475
K11407	Mhon_002476
K11445	Mhon_002486
K19414	Mhon_002486
K19415	Mhon_002486
K11445	Mhon_002487
K19414	Mhon_002487
K19415	Mhon_002487
K08527	Mhon_002492
K08528	Mhon_002492
K08529	Mhon_002492
K03963	Mhon_002509
K09091	Mhon_002509
K15278	Mhon_002521
K08820	Mhon_002523
K15595	Mhon_002523
K15340	Mhon_002524
K15341	Mhon_002524
K17411	Mhon_002525
K17543	Mhon_002533
K07526	Mhon_002537
K06184	Mhon_002543
K10887	Mhon_002547
K08851	Mhon_002548
K10260	Mhon_002548
K18156	Mhon_002561
K13907	Mhon_002564
K05695	Mhon_002565
K19599	Mhon_002565
K01104	Mhon_002566
K05694	Mhon_002566
K13297	Mhon_002566
K05693	Mhon_002589
K06776	Mhon_002589
K13297	Mhon_002589
K07951	Mhon_002593
K14650	Mhon_002594
K05410	Mhon_002595
K10406	Mhon_002602
K03662	Mhon_002609
K09182	Mhon_002623
K17894	Mhon_002623
K17895	Mhon_002623
K15290	Mhon_002625
K10956	Mhon_002627
K04499	Mhon_002628
K00181	Mhon_002631
K00181	Mhon_002632
K16072	Mhon_002642
K19878	Mhon_002642
K10873	Mhon_002644
K17307	Mhon_002645
K01079	Mhon_002648
K12733	Mhon_002649
K01017	Mhon_002655
K01017	Mhon_002656
K09672	Mhon_002656
K09673	Mhon_002656
K08337	Mhon_002666
K09105	Mhon_002674
K09455	Mhon_002674
K15590	Mhon_002674
K09105	Mhon_002692
K09455	Mhon_002692
K15590	Mhon_002692
K13101	Mhon_002696
K13566	Mhon_002696
K11994	Mhon_002698
K11995	Mhon_002698
K06252	Mhon_002699
K06252	Mhon_002700
K05466	Mhon_002702
K10104	Mhon_002702
K13912	Mhon_002702
K06062	Mhon_002716
K14799	Mhon_002717
K08844	Mhon_002729
K11407	Mhon_002730
K11407	Mhon_002731
K15685	Mhon_002750
K11847	Mhon_002751
K00272	Mhon_002757
K00273	Mhon_002757
K16582	Mhon_002757
K08857	Mhon_002768
K20877	Mhon_002768
K04605	Mhon_002795
K04608	Mhon_002795
K00306	Mhon_002798
K00306	Mhon_002799
K01315	Mhon_002807
K09644	Mhon_002807
K01315	Mhon_002808
K09644	Mhon_002808
K01315	Mhon_002810
K09644	Mhon_002810
K01315	Mhon_002811
K09644	Mhon_002811
K01315	Mhon_002813
K09644	Mhon_002813
K02358	Mhon_002827
K08831	Mhon_002831
K08832	Mhon_002831
K15409	Mhon_002831
K18422	Mhon_002832
K04734	Mhon_002835
K05872	Mhon_002835
K01019	Mhon_002839
K01019	Mhon_002840
K09675	Mhon_002840
K09676	Mhon_002840
K12817	Mhon_002846
K16455	Mhon_002862
K16455	Mhon_002865
K09648	Mhon_002878
K05629	Mhon_002892
K05631	Mhon_002892
K05629	Mhon_002893
K05631	Mhon_002893
K15004	Mhon_002918
K17951	Mhon_002918
K17960	Mhon_002918
K15004	Mhon_002923
K17951	Mhon_002923
K17960	Mhon_002923
K15004	Mhon_002924
K17951	Mhon_002924
K17960	Mhon_002924
K17654	Mhon_002928
K10576	Mhon_002932
K12865	Mhon_002946
K12865	Mhon_002949
K03037	Mhon_002977
K08588	Mhon_002979
K14779	Mhon_002979
K03850	Mhon_002980
K07897	Mhon_002981
K14288	Mhon_002984
K14288	Mhon_002990
K07897	Mhon_002993
K03850	Mhon_002994
K08588	Mhon_002995
K14779	Mhon_002995
K03037	Mhon_002998
K06756	Mhon_003003
K20284	Mhon_003008
K14538	Mhon_003010
K04511	Mhon_003011
K22244	Mhon_003056
K11835	Mhon_003059
K21343	Mhon_003059
K11835	Mhon_003060
K21343	Mhon_003060
K16608	Mhon_003065
K13667	Mhon_003070
K18461	Mhon_003071
K16754	Mhon_003080
K07930	Mhon_003086
K15279	Mhon_003090
K11673	Mhon_003095
K05868	Mhon_003100
K21770	Mhon_003100
K04958	Mhon_003127
K05607	Mhon_003162
K00512	Mhon_003184
K10104	Mhon_003191
K10104	Mhon_003192
K18066	Mhon_003211
K08451	Mhon_003214
K08463	Mhon_003214
K06278	Mhon_003219
K12959	Mhon_003219
K04437	Mhon_003230
K00939	Mhon_003256
K10279	Mhon_003256
K11831	Mhon_003261
K19919	Mhon_003268
K20412	Mhon_003268
K13102	Mhon_003273
K01537	Mhon_003277
K05850	Mhon_003277
K16288	Mhon_003285
K10104	Mhon_003287
K21052	Mhon_003296
K10838	Mhon_003299
K07414	Mhon_003329
K07418	Mhon_003329
K07422	Mhon_003329
K13912	Mhon_003332
K15285	Mhon_003345
K00232	Mhon_003351
K10271	Mhon_003359
K18669	Mhon_003360
K15687	Mhon_003364
K05410	Mhon_003386
K01265	Mhon_003388
K01265	Mhon_003389
K01265	Mhon_003390
K13049	Mhon_003393
K13443	Mhon_003395
K05093	Mhon_003397
K05094	Mhon_003397
K10580	Mhon_003398
K13049	Mhon_003400
K11437	Mhon_003456
K11793	Mhon_003472
K09515	Mhon_003473
K09515	Mhon_003474
K00799	Mhon_003476
K00799	Mhon_003477
K00814	Mhon_003480
K01008	Mhon_003483
K08624	Mhon_003503
K11348	Mhon_003506
K00605	Mhon_003507
K16815	Mhon_003508
K08597	Mhon_003509
K14764	Mhon_003509
K17267	Mhon_003528
K06068	Mhon_003540
K18050	Mhon_003540
K18052	Mhon_003540
K06068	Mhon_003541
K18050	Mhon_003541
K18052	Mhon_003541
K00871	Mhon_003567
K03259	Mhon_003571
K15901	Mhon_003573
K15122	Mhon_003575
K02435	Mhon_003589
K15456	Mhon_003589
K01900	Mhon_003590
K17065	Mhon_003591
K02435	Mhon_003592
K15456	Mhon_003592
K11352	Mhon_003632
K18160	Mhon_003632
K18410	Mhon_003633
K00182	Mhon_003634
K00572	Mhon_003634
K01384	Mhon_003634
K01206	Mhon_003661
K06176	Mhon_003665
K10592	Mhon_003668
K16482	Mhon_003672
K01468	Mhon_003673
K11351	Mhon_003679
K01468	Mhon_003680
K03539	Mhon_003682
K16667	Mhon_003683
K13111	Mhon_003686
K12481	Mhon_003728
K07297	Mhon_003730
K07297	Mhon_003731
K07297	Mhon_003732
K21916	Mhon_003737
K21922	Mhon_003737
K21916	Mhon_003744
K21922	Mhon_003744
K14453	Mhon_003749
K14701	Mhon_003749
K14703	Mhon_003749
K10891	Mhon_003750
K17563	Mhon_003756
K17543	Mhon_003762
K20195	Mhon_003769
K13444	Mhon_003773
K02493	Mhon_003774
K04594	Mhon_003776
K14800	Mhon_003786
K12840	Mhon_003787
K13700	Mhon_003788
K00106	Mhon_003789
K00106	Mhon_003790
K00157	Mhon_003790
K01745	Mhon_003793
K11529	Mhon_003800
K10104	Mhon_003809
K09522	Mhon_003823
K15102	Mhon_003847
K00162	Mhon_003848
K09189	Mhon_003848
K17813	Mhon_003849
K00512	Mhon_003852
K07408	Mhon_003852
K07414	Mhon_003852
K00512	Mhon_003853
K07408	Mhon_003853
K07414	Mhon_003853
K05693	Mhon_003857
K06776	Mhon_003857
K13297	Mhon_003857
K04307	Mhon_003860
K04307	Mhon_003862
K10408	Mhon_003864
K12169	Mhon_003865
K17255	Mhon_003866
K13511	Mhon_003869
K12169	Mhon_003872
K09659	Mhon_003873
K10800	Mhon_003874
K17795	Mhon_003875
K19382	Mhon_003875
K00615	Mhon_003877
K13907	Mhon_003906
K05693	Mhon_003907
K06776	Mhon_003907
K13297	Mhon_003907
K00572	Mhon_003940
K19323	Mhon_003941
K08683	Mhon_003944
K08683	Mhon_003951
K11098	Mhon_003959
K10258	Mhon_003960
K13528	Mhon_003960
K01712	Mhon_003961
K06636	Mhon_004001
K19719	Mhon_004001
K06636	Mhon_004002
K19719	Mhon_004002
K10408	Mhon_004004
K08794	Mhon_004005
K08870	Mhon_004015
K08870	Mhon_004017
K13131	Mhon_004018
K08817	Mhon_004064
K11858	Mhon_004067
K04571	Mhon_004070
K04571	Mhon_004073
K04441	Mhon_004092
K04441	Mhon_004095
K08532	Mhon_004132
K08533	Mhon_004132
K08701	Mhon_004132
K14033	Mhon_004132
K01558	Mhon_004137
K00933	Mhon_004142
K00934	Mhon_004142
K15203	Mhon_004161
K04282	Mhon_004224
K04875	Mhon_004226
K04974	Mhon_004267
K04975	Mhon_004267
K01254	Mhon_004268
K01254	Mhon_004269
K01254	Mhon_004271
K04511	Mhon_004273
K00477	Mhon_004282
K20293	Mhon_004288
K05038	Mhon_004291
K14464	Mhon_004303
K00753	Mhon_004305
K14464	Mhon_004305
K14793	Mhon_004308
K19519	Mhon_004313
K21625	Mhon_004321
K05752	Mhon_004325
K06125	Mhon_004333
K04365	Mhon_004336
K20251	Mhon_004342
K20251	Mhon_004344
K03877	Mhon_004345
K07820	Mhon_004345
K13983	Mhon_004353
K18422	Mhon_004353
K18432	Mhon_004353
K13983	Mhon_004355
K18422	Mhon_004355
K18432	Mhon_004355
K11789	Mhon_004363
K11789	Mhon_004364
K11789	Mhon_004365
K12373	Mhon_004377
K00718	Mhon_004378
K14415	Mhon_004385
K14415	Mhon_004389
K04603	Mhon_004390
K04605	Mhon_004390
K04608	Mhon_004390
K04611	Mhon_004390
K07937	Mhon_004399
K07939	Mhon_004399
K07977	Mhon_004399
K04892	Mhon_004406
K17427	Mhon_004410
K14960	Mhon_004411
K11969	Mhon_004416
K11969	Mhon_004417
K11969	Mhon_004418
K00002	Mhon_004438
K00011	Mhon_004438
K00002	Mhon_004440
K00011	Mhon_004440
K14443	Mhon_004441
K17423	Mhon_004444
K01303	Mhon_004446
K03020	Mhon_004449
K04638	Mhon_004471
K04638	Mhon_004481
K14464	Mhon_004483
K13985	Mhon_004496
K13985	Mhon_004497
K10870	Mhon_004500
K13985	Mhon_004501
K04600	Mhon_004503
K04601	Mhon_004503
K04600	Mhon_004504
K04601	Mhon_004504
K04600	Mhon_004505
K04601	Mhon_004505
K04600	Mhon_004506
K04601	Mhon_004506
K05643	Mhon_004507
K05643	Mhon_004508
K04097	Mhon_004513
K18134	Mhon_004519
K08544	Mhon_004520
K14031	Mhon_004520
K07374	Mhon_004521
K11831	Mhon_004523
K08544	Mhon_004525
K14031	Mhon_004525
K08544	Mhon_004526
K14031	Mhon_004526
K18024	Mhon_004540
K00544	Mhon_004553
K04874	Mhon_004560
K20224	Mhon_004564
K20224	Mhon_004566
K20412	Mhon_004579
K18078	Mhon_004582
K01907	Mhon_004593
K08065	Mhon_004595
K14011	Mhon_004597
K04978	Mhon_004600
K03178	Mhon_004602
K03178	Mhon_004605
K11446	Mhon_004606
K16757	Mhon_004608
K01049	Mhon_004618
K01050	Mhon_004618
K14962	Mhon_004619
K07916	Mhon_004620
K00799	Mhon_004623
K04097	Mhon_004623
K00799	Mhon_004624
K04097	Mhon_004624
K11536	Mhon_004625
K11536	Mhon_004626
K06278	Mhon_004629
K06278	Mhon_004631
K06278	Mhon_004632
K06278	Mhon_004633
K12959	Mhon_004633
K06278	Mhon_004634
K12959	Mhon_004634
K06278	Mhon_004635
K12959	Mhon_004635
K06278	Mhon_004636
K12959	Mhon_004636
K06278	Mhon_004637
K12959	Mhon_004637
K06278	Mhon_004638
K12959	Mhon_004638
K06278	Mhon_004639
K12959	Mhon_004639
K06278	Mhon_004640
K12959	Mhon_004640
K00512	Mhon_004644
K07408	Mhon_004644
K07414	Mhon_004644
K06278	Mhon_004645
K12959	Mhon_004645
K00289	Mhon_004647
K01049	Mhon_004649
K01050	Mhon_004649
K08838	Mhon_004654
K01044	Mhon_004657
K01049	Mhon_004657
K01050	Mhon_004657
K01063	Mhon_004657
K03927	Mhon_004657
K14999	Mhon_004657
K01049	Mhon_004658
K01050	Mhon_004658
K01049	Mhon_004659
K01050	Mhon_004659
K12843	Mhon_004681
K12843	Mhon_004685
K05720	Mhon_004686
K05723	Mhon_004686
K05720	Mhon_004687
K05723	Mhon_004687
K16544	Mhon_004691
K08150	Mhon_004698
K05675	Mhon_004700
K05676	Mhon_004700
K06252	Mhon_004713
K06252	Mhon_004717
K20683	Mhon_004719
K00485	Mhon_004720
K01206	Mhon_004721
K01206	Mhon_004723
K01206	Mhon_004725
K01206	Mhon_004726
K12666	Mhon_004733
K20360	Mhon_004735
K04534	Mhon_004736
K04630	Mhon_004736
K03462	Mhon_004738
K19519	Mhon_004739
K03462	Mhon_004743
K15109	Mhon_004746
K11835	Mhon_004747
K21343	Mhon_004747
K10330	Mhon_004748
K13190	Mhon_004749
K19941	Mhon_004750
K12584	Mhon_004755
K12584	Mhon_004756
K12584	Mhon_004758
K06820	Mhon_004759
K06820	Mhon_004763
K06820	Mhon_004766
K10772	Mhon_004771
K01787	Mhon_004773
K10801	Mhon_004778
K16547	Mhon_004779
K10084	Mhon_004780
K05099	Mhon_004783
K04858	Mhon_004786
K07575	Mhon_004787
K02729	Mhon_004788
K18086	Mhon_004791
K21027	Mhon_004792
K04097	Mhon_004794
K09627	Mhon_004796
K05727	Mhon_004798
K13708	Mhon_004798
K12610	Mhon_004799
K12611	Mhon_004799
K19519	Mhon_004800
K19519	Mhon_004801
K11206	Mhon_004802
K03283	Mhon_004806
K06820	Mhon_004808
K06820	Mhon_004814
K06821	Mhon_004814
K12478	Mhon_004825
K00382	Mhon_004829
K04730	Mhon_004830
K12233	Mhon_004831
K19993	Mhon_004841
K01275	Mhon_004842
K07955	Mhon_004843
K04149	Mhon_004846
K10398	Mhon_004860
K10398	Mhon_004861
K16607	Mhon_004864
K10364	Mhon_004865
K15272	Mhon_004868
K15272	Mhon_004869
K08371	Mhon_004875
K09409	Mhon_004877
K18849	Mhon_004880
K21774	Mhon_004887
K11418	Mhon_004888
K11290	Mhon_004889
K03447	Mhon_004906
K05038	Mhon_004911
K05038	Mhon_004913
K05724	Mhon_004916
K09646	Mhon_004927
K09646	Mhon_004931
K00489	Mhon_004942
K11468	Mhon_004945
K11469	Mhon_004945
K05643	Mhon_004947
K20791	Mhon_004950
K18739	Mhon_004951
K18739	Mhon_004952
K18739	Mhon_004953
K15261	Mhon_004954
K18739	Mhon_004956
K04409	Mhon_004960
K10104	Mhon_004991
K10104	Mhon_004999
K10104	Mhon_005002
K14453	Mhon_005005
K14701	Mhon_005005
K14703	Mhon_005005
K12343	Mhon_005007
