KOG	Genes
S	Mhon_000776
O	Mhon_000781
T	Mhon_000787
I	Mhon_000798
Q	Mhon_000798
I	Mhon_000802
Q	Mhon_000802
K	Mhon_000805
I	Mhon_000807
Q	Mhon_000807
I	Mhon_000809
Q	Mhon_000809
H	Mhon_000810
I	Mhon_000811
Q	Mhon_000811
H	Mhon_000812
A	Mhon_000814
S	Mhon_000815
S	Mhon_000817
G	Mhon_000820
Q	Mhon_000821
Q	Mhon_000824
Q	Mhon_000825
Q	Mhon_000826
T	Mhon_000829
T	Mhon_000833
T	Mhon_000835
G	Mhon_000836
S	Mhon_000849
E	Mhon_000850
T	Mhon_000851
S	Mhon_000857
T	Mhon_000875
T	Mhon_000876
I	Mhon_000880
I	Mhon_000882
I	Mhon_000884
U	Mhon_000885
A	Mhon_000886
J	Mhon_000887
J	Mhon_000888
A	Mhon_000889
S	Mhon_000895
T	Mhon_000903
W	Mhon_000903
K	Mhon_000912
K	Mhon_000913
O	Mhon_000914
T	Mhon_000918
S	Mhon_000919
Q	Mhon_000921
T	Mhon_000930
O	Mhon_000933
S	Mhon_000947
Z	Mhon_000951
P	Mhon_000953
P	Mhon_000954
S	Mhon_000959
T	Mhon_000960
U	Mhon_000963
U	Mhon_000964
U	Mhon_000965
G	Mhon_000968
G	Mhon_000969
P	Mhon_000970
T	Mhon_000971
T	Mhon_000976
T	Mhon_000977
S	Mhon_000983
S	Mhon_000984
T	Mhon_000985
T	Mhon_000986
M	Mhon_000994
M	Mhon_000995
S	Mhon_000997
S	Mhon_001005
K	Mhon_001007
S	Mhon_001016
T	Mhon_001021
G	Mhon_001023
T	Mhon_001029
T	Mhon_001032
T	Mhon_001040
Q	Mhon_001063
K	Mhon_001070
Q	Mhon_001071
G	Mhon_001072
W	Mhon_001076
P	Mhon_001087
T	Mhon_001087
S	Mhon_001088
S	Mhon_001089
S	Mhon_001091
S	Mhon_001092
S	Mhon_001093
S	Mhon_001094
S	Mhon_001095
S	Mhon_001096
T	Mhon_001099
T	Mhon_001102
M	Mhon_001103
T	Mhon_001106
U	Mhon_001108
S	Mhon_001109
I	Mhon_001114
P	Mhon_001115
I	Mhon_001116
Q	Mhon_001116
P	Mhon_001117
I	Mhon_001118
Q	Mhon_001118
P	Mhon_001120
I	Mhon_001121
S	Mhon_001122
A	Mhon_001123
A	Mhon_001124
K	Mhon_001125
Q	Mhon_001131
Q	Mhon_001132
I	Mhon_001134
K	Mhon_001134
T	Mhon_001134
O	Mhon_001135
S	Mhon_001136
K	Mhon_001137
O	Mhon_001138
K	Mhon_001139
L	Mhon_001139
T	Mhon_001139
K	Mhon_001142
L	Mhon_001142
T	Mhon_001142
T	Mhon_001145
U	Mhon_001145
I	Mhon_001149
K	Mhon_001150
L	Mhon_001150
O	Mhon_001150
S	Mhon_001151
T	Mhon_001152
G	Mhon_001156
M	Mhon_001156
O	Mhon_001157
O	Mhon_001158
O	Mhon_001160
K	Mhon_001161
L	Mhon_001161
C	Mhon_001162
H	Mhon_001163
O	Mhon_001167
U	Mhon_001168
K	Mhon_001169
S	Mhon_001171
K	Mhon_001172
K	Mhon_001173
S	Mhon_001174
Q	Mhon_001175
Q	Mhon_001176
Q	Mhon_001177
S	Mhon_001179
O	Mhon_001191
F	Mhon_001201
P	Mhon_001201
S	Mhon_001202
P	Mhon_001203
B	Mhon_001204
K	Mhon_001204
C	Mhon_001205
O	Mhon_001206
O	Mhon_001208
S	Mhon_001209
C	Mhon_001210
T	Mhon_001211
Z	Mhon_001211
T	Mhon_001212
V	Mhon_001212
P	Mhon_001213
P	Mhon_001219
P	Mhon_001220
J	Mhon_001225
O	Mhon_001226
M	Mhon_001227
V	Mhon_001229
S	Mhon_001236
A	Mhon_001244
L	Mhon_001249
I	Mhon_001249
K	Mhon_001260
S	Mhon_001261
B	Mhon_001270
S	Mhon_001271
D	Mhon_001288
T	Mhon_001290
V	Mhon_001290
J	Mhon_001297
Q	Mhon_001299
Z	Mhon_001300
Z	Mhon_001301
S	Mhon_001303
S	Mhon_001306
T	Mhon_001309
S	Mhon_001310
S	Mhon_001313
S	Mhon_001315
I	Mhon_001316
O	Mhon_001322
O	Mhon_001324
T	Mhon_001330
S	Mhon_001332
K	Mhon_001333
U	Mhon_001333
O	Mhon_001334
K	Mhon_001339
T	Mhon_001342
T	Mhon_001352
S	Mhon_001354
K	Mhon_001357
U	Mhon_001357
O	Mhon_001358
I	Mhon_001368
F	Mhon_001372
P	Mhon_001372
F	Mhon_001375
P	Mhon_001375
P	Mhon_001380
A	Mhon_001398
K	Mhon_001402
T	Mhon_001404
O	Mhon_001411
U	Mhon_001412
O	Mhon_001413
S	Mhon_001414
U	Mhon_001415
O	Mhon_001423
L	Mhon_001427
S	Mhon_001428
E	Mhon_001429
K	Mhon_001434
H	Mhon_001441
U	Mhon_001442
I	Mhon_001443
T	Mhon_001444
H	Mhon_001446
K	Mhon_001447
A	Mhon_001461
O	Mhon_001463
U	Mhon_001464
U	Mhon_001468
U	Mhon_001469
S	Mhon_001470
S	Mhon_001473
D	Mhon_001484
J	Mhon_001485
E	Mhon_001489
J	Mhon_001490
D	Mhon_001491
T	Mhon_001495
T	Mhon_001496
V	Mhon_001496
S	Mhon_001497
T	Mhon_001498
S	Mhon_001500
S	Mhon_001502
W	Mhon_001508
D	Mhon_001513
E	Mhon_001515
S	Mhon_001518
T	Mhon_001524
T	Mhon_001526
F	Mhon_001527
S	Mhon_001533
T	Mhon_001538
T	Mhon_001540
T	Mhon_001545
T	Mhon_001549
L	Mhon_001552
U	Mhon_001558
S	Mhon_001561
O	Mhon_001562
J	Mhon_001563
E	Mhon_001564
E	Mhon_001565
T	Mhon_001585
T	Mhon_001587
E	Mhon_001588
E	Mhon_001590
T	Mhon_001591
T	Mhon_001598
T	Mhon_001599
E	Mhon_001600
T	Mhon_001601
O	Mhon_001602
O	Mhon_001603
O	Mhon_001604
E	Mhon_001605
O	Mhon_001607
O	Mhon_001608
I	Mhon_001632
S	Mhon_001635
Q	Mhon_001636
S	Mhon_001641
A	Mhon_001652
F	Mhon_001653
F	Mhon_001654
T	Mhon_001659
I	Mhon_001663
E	Mhon_001666
P	Mhon_001666
T	Mhon_001666
A	Mhon_001669
A	Mhon_001672
T	Mhon_001676
T	Mhon_001677
E	Mhon_001678
S	Mhon_001681
F	Mhon_001688
P	Mhon_001688
F	Mhon_001690
P	Mhon_001690
Q	Mhon_001695
Q	Mhon_001699
Q	Mhon_001702
Q	Mhon_001703
T	Mhon_001704
T	Mhon_001730
O	Mhon_001739
O	Mhon_001741
T	Mhon_001742
S	Mhon_001743
A	Mhon_001748
Q	Mhon_001754
Q	Mhon_001755
S	Mhon_001768
G	Mhon_001769
S	Mhon_001776
S	Mhon_001779
Q	Mhon_001786
Q	Mhon_001789
O	Mhon_001791
O	Mhon_001794
F	Mhon_001795
P	Mhon_001795
F	Mhon_001796
P	Mhon_001796
F	Mhon_001797
P	Mhon_001797
L	Mhon_001800
S	Mhon_001809
Q	Mhon_001812
Q	Mhon_001813
U	Mhon_001818
S	Mhon_001819
Q	Mhon_001823
Q	Mhon_001824
G	Mhon_001826
Q	Mhon_001827
G	Mhon_001828
S	Mhon_001832
S	Mhon_001833
Q	Mhon_001840
Q	Mhon_001841
K	Mhon_001875
F	Mhon_001876
S	Mhon_001877
K	Mhon_001878
K	Mhon_001891
E	Mhon_001894
T	Mhon_001895
K	Mhon_001900
K	Mhon_001902
T	Mhon_001905
E	Mhon_001906
I	Mhon_001907
I	Mhon_001908
O	Mhon_001911
S	Mhon_001912
S	Mhon_001915
K	Mhon_001916
O	Mhon_001917
G	Mhon_001920
U	Mhon_001923
O	Mhon_001924
J	Mhon_001929
O	Mhon_001930
O	Mhon_001933
O	Mhon_001935
O	Mhon_001936
S	Mhon_001939
B	Mhon_001941
K	Mhon_001941
O	Mhon_001964
C	Mhon_001968
G	Mhon_001969
A	Mhon_001970
S	Mhon_001971
O	Mhon_001972
S	Mhon_001974
T	Mhon_001976
O	Mhon_001977
L	Mhon_001978
W	Mhon_001979
O	Mhon_001986
O	Mhon_001988
D	Mhon_002000
O	Mhon_002005
O	Mhon_002006
P	Mhon_002011
S	Mhon_002023
O	Mhon_002027
A	Mhon_002028
K	Mhon_002031
T	Mhon_002042
Q	Mhon_002049
T	Mhon_002050
T	Mhon_002051
S	Mhon_002053
L	Mhon_002055
L	Mhon_002059
G	Mhon_002061
G	Mhon_002062
Q	Mhon_002064
K	Mhon_002065
Q	Mhon_002067
Q	Mhon_002068
Q	Mhon_002069
Q	Mhon_002070
S	Mhon_002075
E	Mhon_002083
S	Mhon_002092
S	Mhon_002101
S	Mhon_002102
I	Mhon_002103
K	Mhon_002105
C	Mhon_002109
E	Mhon_002112
Q	Mhon_002113
L	Mhon_002114
S	Mhon_002116
J	Mhon_002125
G	Mhon_002127
Z	Mhon_002132
D	Mhon_002133
E	Mhon_002134
O	Mhon_002134
S	Mhon_002142
T	Mhon_002155
T	Mhon_002156
T	Mhon_002162
T	Mhon_002163
O	Mhon_002178
O	Mhon_002179
U	Mhon_002185
T	Mhon_002188
S	Mhon_002189
S	Mhon_002190
T	Mhon_002192
W	Mhon_002192
T	Mhon_002195
W	Mhon_002195
T	Mhon_002198
W	Mhon_002198
T	Mhon_002203
W	Mhon_002203
T	Mhon_002204
W	Mhon_002204
T	Mhon_002205
T	Mhon_002206
T	Mhon_002213
T	Mhon_002214
T	Mhon_002215
T	Mhon_002222
S	Mhon_002228
Q	Mhon_002230
S	Mhon_002231
S	Mhon_002233
B	Mhon_002240
S	Mhon_002242
I	Mhon_002245
C	Mhon_002247
S	Mhon_002276
B	Mhon_002282
D	Mhon_002282
L	Mhon_002315
L	Mhon_002327
G	Mhon_002330
G	Mhon_002332
S	Mhon_002333
T	Mhon_002348
Z	Mhon_002350
T	Mhon_002352
W	Mhon_002352
S	Mhon_002364
S	Mhon_002370
T	Mhon_002371
U	Mhon_002371
Z	Mhon_002379
I	Mhon_002383
B	Mhon_002387
Q	Mhon_002398
S	Mhon_002399
C	Mhon_002402
D	Mhon_002403
S	Mhon_002413
S	Mhon_002414
S	Mhon_002417
S	Mhon_002418
S	Mhon_002420
I	Mhon_002427
S	Mhon_002433
S	Mhon_002434
B	Mhon_002438
K	Mhon_002438
K	Mhon_002439
U	Mhon_002440
G	Mhon_002442
E	Mhon_002445
T	Mhon_002445
O	Mhon_002446
Z	Mhon_002448
K	Mhon_002453
T	Mhon_002454
S	Mhon_002472
T	Mhon_002473
T	Mhon_002474
S	Mhon_002475
B	Mhon_002476
S	Mhon_002479
S	Mhon_002480
S	Mhon_002481
S	Mhon_002482
S	Mhon_002483
S	Mhon_002484
B	Mhon_002486
B	Mhon_002487
K	Mhon_002492
S	Mhon_002493
S	Mhon_002495
S	Mhon_002496
S	Mhon_002499
S	Mhon_002501
S	Mhon_002502
S	Mhon_002504
K	Mhon_002509
G	Mhon_002521
T	Mhon_002523
L	Mhon_002524
J	Mhon_002525
F	Mhon_002532
T	Mhon_002532
S	Mhon_002533
T	Mhon_002537
S	Mhon_002538
S	Mhon_002539
S	Mhon_002540
S	Mhon_002541
J	Mhon_002543
S	Mhon_002544
S	Mhon_002546
L	Mhon_002547
T	Mhon_002548
L	Mhon_002561
S	Mhon_002564
T	Mhon_002565
T	Mhon_002566
S	Mhon_002572
T	Mhon_002584
T	Mhon_002589
U	Mhon_002593
K	Mhon_002594
T	Mhon_002595
Z	Mhon_002602
S	Mhon_002605
C	Mhon_002609
S	Mhon_002613
K	Mhon_002615
K	Mhon_002623
T	Mhon_002625
U	Mhon_002625
U	Mhon_002627
L	Mhon_002628
G	Mhon_002630
S	Mhon_002631
S	Mhon_002632
S	Mhon_002639
U	Mhon_002642
L	Mhon_002644
T	Mhon_002645
S	Mhon_002646
E	Mhon_002648
O	Mhon_002649
S	Mhon_002650
S	Mhon_002652
O	Mhon_002654
G	Mhon_002655
G	Mhon_002656
O	Mhon_002664
H	Mhon_002666
T	Mhon_002672
O	Mhon_002673
K	Mhon_002674
O	Mhon_002680
O	Mhon_002681
O	Mhon_002682
O	Mhon_002683
O	Mhon_002685
O	Mhon_002686
O	Mhon_002687
O	Mhon_002691
K	Mhon_002692
S	Mhon_002694
O	Mhon_002696
T	Mhon_002698
T	Mhon_002699
T	Mhon_002700
L	Mhon_002701
S	Mhon_002702
S	Mhon_002703
L	Mhon_002704
S	Mhon_002705
B	Mhon_002716
K	Mhon_002716
S	Mhon_002717
O	Mhon_002720
T	Mhon_002729
B	Mhon_002730
B	Mhon_002731
S	Mhon_002744
S	Mhon_002745
S	Mhon_002746
O	Mhon_002750
O	Mhon_002751
S	Mhon_002756
E	Mhon_002757
S	Mhon_002765
T	Mhon_002768
E	Mhon_002769
E	Mhon_002772
C	Mhon_002775
E	Mhon_002776
H	Mhon_002776
C	Mhon_002778
C	Mhon_002783
P	Mhon_002795
T	Mhon_002795
T	Mhon_002797
E	Mhon_002798
E	Mhon_002799
T	Mhon_002800
T	Mhon_002801
T	Mhon_002804
T	Mhon_002805
O	Mhon_002807
O	Mhon_002808
O	Mhon_002809
O	Mhon_002810
O	Mhon_002811
S	Mhon_002812
O	Mhon_002813
S	Mhon_002821
S	Mhon_002822
S	Mhon_002824
J	Mhon_002827
K	Mhon_002828
T	Mhon_002831
L	Mhon_002832
S	Mhon_002835
B	Mhon_002836
T	Mhon_002838
S	Mhon_002839
S	Mhon_002840
T	Mhon_002842
A	Mhon_002846
S	Mhon_002847
S	Mhon_002850
G	Mhon_002851
T	Mhon_002859
I	Mhon_002861
S	Mhon_002862
T	Mhon_002863
S	Mhon_002865
I	Mhon_002867
O	Mhon_002878
U	Mhon_002878
S	Mhon_002882
Z	Mhon_002890
J	Mhon_002891
O	Mhon_002892
F	Mhon_002893
S	Mhon_002900
Q	Mhon_002918
Q	Mhon_002923
Q	Mhon_002924
T	Mhon_002927
J	Mhon_002928
O	Mhon_002932
S	Mhon_002934
S	Mhon_002941
K	Mhon_002946
K	Mhon_002949
S	Mhon_002956
S	Mhon_002967
S	Mhon_002968
S	Mhon_002969
S	Mhon_002973
O	Mhon_002977
B	Mhon_002979
I	Mhon_002980
K	Mhon_002980
O	Mhon_002980
T	Mhon_002980
U	Mhon_002981
J	Mhon_002982
S	Mhon_002983
J	Mhon_002984
U	Mhon_002984
Y	Mhon_002984
K	Mhon_002985
K	Mhon_002989
J	Mhon_002990
U	Mhon_002990
Y	Mhon_002990
S	Mhon_002991
J	Mhon_002992
U	Mhon_002993
I	Mhon_002994
K	Mhon_002994
O	Mhon_002994
T	Mhon_002994
B	Mhon_002995
O	Mhon_002998
T	Mhon_003003
O	Mhon_003008
O	Mhon_003010
T	Mhon_003011
Z	Mhon_003011
S	Mhon_003017
Q	Mhon_003045
Q	Mhon_003046
T	Mhon_003056
V	Mhon_003056
D	Mhon_003058
O	Mhon_003059
O	Mhon_003060
T	Mhon_003061
Z	Mhon_003061
O	Mhon_003065
S	Mhon_003070
S	Mhon_003071
T	Mhon_003072
T	Mhon_003073
T	Mhon_003074
T	Mhon_003075
S	Mhon_003080
U	Mhon_003086
G	Mhon_003090
O	Mhon_003090
U	Mhon_003090
S	Mhon_003094
Z	Mhon_003095
K	Mhon_003096
D	Mhon_003100
S	Mhon_003123
S	Mhon_003126
T	Mhon_003127
S	Mhon_003150
T	Mhon_003151
I	Mhon_003162
T	Mhon_003183
Q	Mhon_003184
T	Mhon_003186
S	Mhon_003191
S	Mhon_003192
B	Mhon_003204
S	Mhon_003209
F	Mhon_003210
B	Mhon_003211
T	Mhon_003211
K	Mhon_003213
O	Mhon_003213
T	Mhon_003214
T	Mhon_003219
Z	Mhon_003230
T	Mhon_003248
F	Mhon_003256
O	Mhon_003258
S	Mhon_003261
O	Mhon_003265
S	Mhon_003267
S	Mhon_003268
A	Mhon_003273
E	Mhon_003274
P	Mhon_003277
T	Mhon_003281
T	Mhon_003285
S	Mhon_003286
T	Mhon_003287
A	Mhon_003289
D	Mhon_003289
S	Mhon_003296
L	Mhon_003297
L	Mhon_003299
Q	Mhon_003329
S	Mhon_003332
S	Mhon_003339
S	Mhon_003344
E	Mhon_003345
G	Mhon_003345
T	Mhon_003347
I	Mhon_003351
Q	Mhon_003352
S	Mhon_003359
T	Mhon_003360
S	Mhon_003361
S	Mhon_003362
S	Mhon_003363
O	Mhon_003364
T	Mhon_003386
O	Mhon_003388
O	Mhon_003389
O	Mhon_003390
T	Mhon_003392
E	Mhon_003393
O	Mhon_003394
S	Mhon_003395
S	Mhon_003396
T	Mhon_003397
O	Mhon_003398
E	Mhon_003400
L	Mhon_003403
S	Mhon_003414
S	Mhon_003415
K	Mhon_003456
O	Mhon_003456
T	Mhon_003456
T	Mhon_003458
T	Mhon_003460
S	Mhon_003461
T	Mhon_003463
S	Mhon_003472
O	Mhon_003473
O	Mhon_003474
U	Mhon_003475
O	Mhon_003476
O	Mhon_003477
S	Mhon_003478
D	Mhon_003479
E	Mhon_003480
G	Mhon_003482
T	Mhon_003483
O	Mhon_003503
L	Mhon_003506
E	Mhon_003507
I	Mhon_003508
S	Mhon_003509
U	Mhon_003528
T	Mhon_003540
T	Mhon_003541
S	Mhon_003543
S	Mhon_003544
S	Mhon_003545
S	Mhon_003546
U	Mhon_003547
T	Mhon_003567
T	Mhon_003569
T	Mhon_003570
J	Mhon_003571
K	Mhon_003573
P	Mhon_003575
S	Mhon_003578
S	Mhon_003583
S	Mhon_003584
S	Mhon_003585
S	Mhon_003586
F	Mhon_003589
C	Mhon_003590
U	Mhon_003591
F	Mhon_003592
C	Mhon_003631
C	Mhon_003632
S	Mhon_003633
T	Mhon_003634
S	Mhon_003635
D	Mhon_003636
U	Mhon_003636
D	Mhon_003660
Z	Mhon_003660
G	Mhon_003661
S	Mhon_003665
L	Mhon_003667
O	Mhon_003668
S	Mhon_003671
S	Mhon_003672
F	Mhon_003673
Q	Mhon_003673
S	Mhon_003679
F	Mhon_003680
Q	Mhon_003680
S	Mhon_003681
J	Mhon_003682
T	Mhon_003683
S	Mhon_003686
K	Mhon_003687
K	Mhon_003688
S	Mhon_003698
S	Mhon_003712
S	Mhon_003713
S	Mhon_003726
S	Mhon_003728
T	Mhon_003730
T	Mhon_003731
T	Mhon_003732
S	Mhon_003737
S	Mhon_003741
S	Mhon_003744
P	Mhon_003749
E	Mhon_003750
K	Mhon_003756
U	Mhon_003757
T	Mhon_003762
K	Mhon_003767
S	Mhon_003769
S	Mhon_003773
J	Mhon_003774
O	Mhon_003776
S	Mhon_003786
A	Mhon_003787
S	Mhon_003788
F	Mhon_003789
F	Mhon_003790
S	Mhon_003792
Q	Mhon_003793
I	Mhon_003796
I	Mhon_003797
T	Mhon_003799
G	Mhon_003800
O	Mhon_003805
S	Mhon_003809
P	Mhon_003812
S	Mhon_003815
K	Mhon_003816
K	Mhon_003823
C	Mhon_003847
C	Mhon_003848
Q	Mhon_003849
Q	Mhon_003850
Q	Mhon_003852
Q	Mhon_003853
Q	Mhon_003854
T	Mhon_003857
T	Mhon_003860
T	Mhon_003862
Z	Mhon_003864
O	Mhon_003865
O	Mhon_003866
S	Mhon_003868
I	Mhon_003869
O	Mhon_003872
O	Mhon_003873
T	Mhon_003873
L	Mhon_003874
U	Mhon_003875
G	Mhon_003877
K	Mhon_003878
S	Mhon_003879
S	Mhon_003906
T	Mhon_003907
Z	Mhon_003912
T	Mhon_003940
S	Mhon_003941
Q	Mhon_003944
Q	Mhon_003951
A	Mhon_003959
K	Mhon_003960
E	Mhon_003961
C	Mhon_003976
S	Mhon_003983
C	Mhon_003995
C	Mhon_004000
D	Mhon_004001
D	Mhon_004002
S	Mhon_004003
Z	Mhon_004004
T	Mhon_004005
W	Mhon_004015
W	Mhon_004017
A	Mhon_004018
P	Mhon_004046
T	Mhon_004046
P	Mhon_004050
T	Mhon_004050
S	Mhon_004056
T	Mhon_004064
J	Mhon_004066
O	Mhon_004067
U	Mhon_004070
U	Mhon_004073
W	Mhon_004088
T	Mhon_004092
T	Mhon_004095
B	Mhon_004121
T	Mhon_004121
B	Mhon_004131
T	Mhon_004131
K	Mhon_004132
T	Mhon_004137
C	Mhon_004142
K	Mhon_004161
S	Mhon_004162
T	Mhon_004163
S	Mhon_004171
O	Mhon_004180
O	Mhon_004192
O	Mhon_004201
O	Mhon_004209
O	Mhon_004211
O	Mhon_004212
T	Mhon_004213
T	Mhon_004214
T	Mhon_004215
T	Mhon_004216
T	Mhon_004220
C	Mhon_004223
T	Mhon_004224
P	Mhon_004226
S	Mhon_004251
P	Mhon_004267
T	Mhon_004267
E	Mhon_004268
I	Mhon_004268
O	Mhon_004268
V	Mhon_004268
E	Mhon_004269
I	Mhon_004269
O	Mhon_004269
V	Mhon_004269
E	Mhon_004271
I	Mhon_004271
O	Mhon_004271
V	Mhon_004271
T	Mhon_004273
Z	Mhon_004273
I	Mhon_004282
T	Mhon_004285
S	Mhon_004288
P	Mhon_004291
M	Mhon_004303
G	Mhon_004305
S	Mhon_004307
A	Mhon_004308
M	Mhon_004313
W	Mhon_004313
S	Mhon_004317
K	Mhon_004321
Z	Mhon_004325
T	Mhon_004326
T	Mhon_004329
H	Mhon_004333
T	Mhon_004336
S	Mhon_004342
S	Mhon_004344
G	Mhon_004345
T	Mhon_004349
T	Mhon_004350
Z	Mhon_004352
L	Mhon_004353
L	Mhon_004355
T	Mhon_004357
T	Mhon_004358
D	Mhon_004363
D	Mhon_004364
D	Mhon_004365
U	Mhon_004370
G	Mhon_004377
G	Mhon_004378
J	Mhon_004385
J	Mhon_004389
T	Mhon_004390
K	Mhon_004392
T	Mhon_004392
U	Mhon_004399
S	Mhon_004405
P	Mhon_004406
S	Mhon_004407
J	Mhon_004410
O	Mhon_004411
O	Mhon_004416
O	Mhon_004417
O	Mhon_004418
S	Mhon_004436
S	Mhon_004438
S	Mhon_004440
T	Mhon_004441
J	Mhon_004444
O	Mhon_004446
K	Mhon_004449
S	Mhon_004462
T	Mhon_004471
T	Mhon_004481
M	Mhon_004483
S	Mhon_004484
S	Mhon_004485
S	Mhon_004486
S	Mhon_004488
S	Mhon_004489
S	Mhon_004490
S	Mhon_004491
S	Mhon_004492
S	Mhon_004493
S	Mhon_004494
S	Mhon_004496
S	Mhon_004497
S	Mhon_004500
S	Mhon_004501
T	Mhon_004503
T	Mhon_004504
T	Mhon_004505
T	Mhon_004506
I	Mhon_004507
I	Mhon_004508
O	Mhon_004513
K	Mhon_004519
L	Mhon_004519
T	Mhon_004519
K	Mhon_004520
Z	Mhon_004521
S	Mhon_004522
S	Mhon_004523
K	Mhon_004525
K	Mhon_004526
T	Mhon_004530
T	Mhon_004540
E	Mhon_004553
P	Mhon_004560
U	Mhon_004564
Y	Mhon_004564
U	Mhon_004566
Y	Mhon_004566
T	Mhon_004570
T	Mhon_004573
S	Mhon_004575
S	Mhon_004579
S	Mhon_004580
V	Mhon_004582
I	Mhon_004593
K	Mhon_004595
O	Mhon_004596
O	Mhon_004597
P	Mhon_004599
P	Mhon_004600
T	Mhon_004600
O	Mhon_004602
O	Mhon_004605
K	Mhon_004606
S	Mhon_004608
T	Mhon_004618
A	Mhon_004619
B	Mhon_004619
O	Mhon_004619
U	Mhon_004620
O	Mhon_004623
O	Mhon_004624
F	Mhon_004625
P	Mhon_004625
F	Mhon_004626
P	Mhon_004626
U	Mhon_004629
U	Mhon_004631
U	Mhon_004632
T	Mhon_004633
T	Mhon_004634
T	Mhon_004635
T	Mhon_004636
T	Mhon_004637
T	Mhon_004638
T	Mhon_004639
T	Mhon_004640
Q	Mhon_004644
T	Mhon_004645
F	Mhon_004647
I	Mhon_004649
I	Mhon_004653
T	Mhon_004654
T	Mhon_004655
I	Mhon_004656
L	Mhon_004657
G	Mhon_004658
T	Mhon_004659
Z	Mhon_004662
S	Mhon_004663
S	Mhon_004668
A	Mhon_004681
A	Mhon_004685
T	Mhon_004686
T	Mhon_004687
S	Mhon_004691
U	Mhon_004695
U	Mhon_004698
I	Mhon_004700
T	Mhon_004713
S	Mhon_004714
S	Mhon_004715
S	Mhon_004716
T	Mhon_004717
D	Mhon_004718
