Genes	Description	Preferred_name
Mhon_000287	WD repeat-containing protein	mio
Mhon_000288	Coiled-coil domain containing 89	-
Mhon_000298	Glucosaminyl (N-acetyl) transferase 3, mucin type	gly-18
Mhon_000301	Achalasia, adrenocortical insufficiency, alacrimia	-
Mhon_000310	GTP binding	-
Mhon_000313	Ring finger	-
Mhon_000314	MATH domain	-
Mhon_000316	Post-GPI attachment to proteins	-
Mhon_000317	Coiled-coil domain containing 173	-
Mhon_000318	pyridoxal phosphatase activity	-
Mhon_000322	phosphatase activity. It is involved in the biological process described with metabolic process	-
Mhon_000325	phosphatase activity. It is involved in the biological process described with metabolic process	-
Mhon_000343	cobalamin metabolic process	-
Mhon_000359	intracellular signal transduction	-
Mhon_000360	intracellular signal transduction	-
Mhon_000362	LRRFIP family	-
Mhon_000371	Pyruvate phosphate dikinase, PEP/pyruvate binding domain	-
Mhon_000376	PEP-utilising enzyme, mobile domain	-
Mhon_000382	F5/8 type C domain	-
Mhon_000393	Natriuretic peptide receptor	-
Mhon_000397	Receptor-type tyrosine-protein phosphatase	-
Mhon_000402	Solute carrier family 27 (Fatty acid transporter), member	-
Mhon_000418	protein serine/threonine kinase activity	-
Mhon_000419	histamine oxidase activity	-
Mhon_000420	sphingosine-1-phosphate phosphatase activity	-
Mhon_000421	Serine threonine-protein kinase tousled-like	tlk
Mhon_000422	Serine threonine-protein kinase tousled-like	tlk
Mhon_000423	ATPase activity	wht-7
Mhon_000427	It is involved in the biological process described with signal transduction	-
Mhon_000441	V-ral simian leukemia viral oncogene homolog	-
Mhon_000442	Ras-related protein Ral-A	-
Mhon_000443	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors	MED1
Mhon_000444	Ras subfamily of RAS small GTPases	-
Mhon_000446	Pancreas specific transcription factor, 1a	Fer1
Mhon_000447	protein dimerization activity	Fer1
Mhon_000451	extracellular ligand-gated ion channel activity	-
Mhon_000452	carnitine O-octanoyltransferase	-
Mhon_000482	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily	-
Mhon_000483	microtubule nucleation	TUBG1
Mhon_000484	positive regulation of fibroblast apoptotic process	-
Mhon_000488	scavenger receptor activity	-
Mhon_000492	mesenchymal-epithelial cell signaling involved in prostate gland development	-
Mhon_000506	Grap2 and cyclin-D-interacting	-
Mhon_000507	Zinc finger CW-type PWWP domain protein 2	-
Mhon_000512	protein with kazal	Reck
Mhon_000515	vacuole fusion, non-autophagic	lt
Mhon_000518	POU domain, class 6, transcription factor	pdm3
Mhon_000519	POU domain, class 6, transcription factor	pdm3
Mhon_000525	ATP-dependent microtubule motor activity, plus-end-directed	Khc
Mhon_000526	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	Khc
Mhon_000533	transferase activity, transferring glycosyl groups	-
Mhon_000535	ubiquitin-like protein-specific protease activity	-
Mhon_000538	ubiquitin-like protein-specific protease activity	-
Mhon_000539	apoptotic mitochondrial changes	-
Mhon_000540	EF-1 guanine nucleotide exchange domain	Ef1beta
Mhon_000542	PLAC8 family	-
Mhon_000543	apoptotic mitochondrial changes	-
Mhon_000544	EF-1 guanine nucleotide exchange domain	Ef1beta
Mhon_000545	PLAC8 family	-
Mhon_000547	Aldo/keto reductase family	-
Mhon_000551	Protein of unknown function (DUF1647)	-
Mhon_000560	Aldo/keto reductase family	-
Mhon_000561	Aldo/keto reductase family	-
Mhon_000568	Chondroitin	-
Mhon_000569	thyrotropin-releasing hormone receptor binding	-
Mhon_000570	Tripartite motif-containing	-
Mhon_000573	thyrotropin-releasing hormone receptor binding	-
Mhon_000586	Putative cyclase	-
Mhon_000587	Putative cyclase	-
Mhon_000588	Putative cyclase	-
Mhon_000590	Putative cyclase	-
Mhon_000592	amide hydrolase	faah-1
Mhon_000595	Belongs to the small GTPase superfamily. Arf family	-
Mhon_000596	Transcription factor Pcc1	-
Mhon_000598	YL1 nuclear protein C-terminal domain	-
Mhon_000600	acetylcholine-gated cation-selective channel activity	lgc-4
Mhon_000602	homolog subfamily C member 1	-
Mhon_000606	protein binding, bridging	-
Mhon_000607	hydrolase activity, acting on ester bonds	-
Mhon_000617	C-type lectin domain family 17 member A	-
Mhon_000620	carbohydrate binding	-
Mhon_000627	sodium-dependent L-ascorbate transmembrane transporter activity	-
Mhon_000628	Permease family	-
Mhon_000629	ADP-ribosylation factor	-
Mhon_000631	helix loop helix domain	-
Mhon_000635	zinc ion binding	-
Mhon_000637	Coiled-coil domain containing 93	fidipidine
Mhon_000638	Insulin-induced gene	-
Mhon_000642	Si ch211-203k16.3	-
Mhon_000643	Fibrinogen-related domains (FReDs)	-
Mhon_000644	Fibrinogen-related domains (FReDs)	-
Mhon_000645	Fibrinogen-related domains (FReDs)	-
Mhon_000649	Si ch211-203k16.3	-
Mhon_000650	Fibrinogen-related domains (FReDs)	-
Mhon_000651	negative regulation of axon extension involved in regeneration	-
Mhon_000652	Fibrinogen-related domains (FReDs)	-
Mhon_000655	Fibrinogen gamma	-
Mhon_000656	nuclear receptor subfamily 1, group H, member	EcR
Mhon_000672	tripartite motif containing 23	-
Mhon_000674	Rac GTPase-activating protein	-
Mhon_000675	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks	Arc-p34
Mhon_000678	Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events	hda-4
Mhon_000680	Astacin-like metallo-endopeptidase (M12 family)	-
Mhon_000687	protein polyglutamylation	ttll-4
Mhon_000688	WD repeat-containing protein	-
Mhon_000693	rRNA processing	-
Mhon_000717	Beta-lactamase	-
Mhon_000718	Patatin-like phospholipase	-
Mhon_000719	Patatin-like phospholipase	-
Mhon_000729	Receptor-type tyrosine-protein phosphatase epsilon	-
Mhon_000731	-	-
Mhon_000733	-	-
Mhon_000752	Belongs to the AAA ATPase family	Vps4
Mhon_000757	Ras of Complex, Roc, domain of DAPkinase	-
Mhon_000765	N,N-dimethylaniline monooxygenase activity	-
Mhon_000766	Flavin-binding monooxygenase-like	-
Mhon_000776	Gem nuclear organelle associated protein 2	-
Mhon_000781	serine-type endopeptidase activity	-
Mhon_000785	-	-
Mhon_000787	GTPase activator activity	pac-1
Mhon_000798	monooxygenase activity	-
Mhon_000802	monooxygenase activity	-
Mhon_000805	endothelial cell proliferation	-
Mhon_000807	heme binding	-
Mhon_000809	monooxygenase activity	-
Mhon_000810	methionine adenosyltransferase activity	-
Mhon_000811	monooxygenase activity	-
Mhon_000812	methionine adenosyltransferase activity	-
Mhon_000814	Splicing factor 3b subunit	sf3b1
Mhon_000815	Si ch73-250a16.5	-
Mhon_000817	Si ch73-250a16.5	-
Mhon_000819	-	-
Mhon_000820	alpha-L-fucosidase activity	Fuca
Mhon_000821	Multicopper oxidase	-
Mhon_000824	iron assimilation by reduction and transport	-
Mhon_000825	Belongs to the multicopper oxidase family	-
Mhon_000826	Multicopper oxidase	-
Mhon_000829	Receptor	GPRDIH1
Mhon_000833	Receptor	GPRDIH1
Mhon_000835	Carboxylesterase family	-
Mhon_000836	Carboxylesterase family	-
Mhon_000842	-	-
Mhon_000849	Mannose-6-phosphate receptor	-
Mhon_000850	acireductone dioxygenase [iron(II)-requiring] activity	-
Mhon_000851	guanylate cyclase activity	-
Mhon_000857	F5/8 type C domain	-
Mhon_000875	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPRCAL2
Mhon_000876	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPRCAL2
Mhon_000880	Glycosyltransferase sugar-binding region containing DXD motif	-
Mhon_000882	Glycosyltransferase sugar-binding region containing DXD motif	-
Mhon_000884	methylmalonyl-CoA mutase activity	-
Mhon_000885	GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle	ran
Mhon_000886	S1 RNA binding domain	-
Mhon_000887	tRNA dihydrouridine synthase activity	-
Mhon_000888	tRNA dihydrouridine synthase activity	-
Mhon_000889	ATP-dependent RNA helicase	-
Mhon_000895	G8	-
Mhon_000903	Integrin beta	-
Mhon_000912	Polycomb complex protein	-
Mhon_000913	B lymphoma Mo-MLV insertion region 1a	-
Mhon_000914	histone H2A-K119 monoubiquitination	-
Mhon_000918	1-phosphatidylinositol-5-phosphate 4-kinase activity	-
Mhon_000919	WD repeat domain 74	-
Mhon_000921	ATPase activity, coupled to transmembrane movement of substances	pgp-2
Mhon_000930	GTPase activator activity	tag-325
Mhon_000933	polypeptide N-acetylgalactosaminyltransferase activity	gly-5
Mhon_000947	Ankyrin repeats (3 copies)	-
Mhon_000951	Fascin actin-bundling protein 1	sn
Mhon_000953	solute carrier family 4, sodium bicarbonate	-
Mhon_000954	solute carrier family 4, sodium bicarbonate	-
Mhon_000959	thick ascending limb development	-
Mhon_000960	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPRCAL2
Mhon_000963	sphingosine N-acyltransferase activity	-
Mhon_000964	Ceramide synthase	-
Mhon_000965	sphingosine N-acyltransferase activity	-
Mhon_000968	Lytic transglycolase	-
Mhon_000969	Lytic transglycolase	-
Mhon_000970	solute carrier family 11 (proton-coupled divalent metal ion	Mvl
Mhon_000971	MAP kinase kinase kinase activity	-
Mhon_000976	SH3 domain-binding protein 5	-
Mhon_000977	Leucine rich repeat containing 46	-
Mhon_000983	cell surface pattern recognition receptor signaling pathway	-
Mhon_000984	cell surface pattern recognition receptor signaling pathway	-
Mhon_000985	mesenchymal-epithelial cell signaling involved in prostate gland development	-
Mhon_000986	negative regulation of axon extension involved in regeneration	-
Mhon_000994	signaling receptor binding	-
Mhon_000995	signaling receptor binding	-
Mhon_000997	cell surface pattern recognition receptor signaling pathway	-
Mhon_001005	receptor	-
Mhon_001007	regulation of DNA-templated transcription in response to stress	-
Mhon_001016	hydrolase activity	-
Mhon_001021	Parapinopsin-like	-
Mhon_001023	UBA-like domain	-
Mhon_001029	cellular hypotonic response	-
Mhon_001032	cellular hypotonic response	-
Mhon_001040	DBD domain binding	-
Mhon_001063	methyltransferase	-
Mhon_001070	homeobox protein	-
Mhon_001071	Retinal pigment epithelial membrane protein	-
Mhon_001072	Beta-1,3-galactosyltransferase	-
Mhon_001076	plexin domain-containing protein	-
Mhon_001080	-	-
Mhon_001087	calcium, potassium:sodium antiporter activity	-
Mhon_001088	alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	-
Mhon_001089	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C	-
Mhon_001091	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C	-
Mhon_001092	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C	-
Mhon_001093	alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	-
Mhon_001094	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C	-
Mhon_001095	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C	-
Mhon_001096	XRCC1 N terminal domain	-
Mhon_001099	receptor	-
Mhon_001102	Belongs to the AB hydrolase superfamily. Lipase family	-
Mhon_001103	G-protein coupled receptor activity	-
Mhon_001106	receptor	-
Mhon_001108	GTP binding	-
Mhon_001109	positive regulation of myelination	-
Mhon_001109	N-terminal of Par3 and HAL proteins	-
Mhon_001114	ubiquinone binding	-
Mhon_001115	Amiloride-sensitive sodium channel	-
Mhon_001116	heme binding	-
Mhon_001117	Amiloride-sensitive sodium channel	-
Mhon_001118	monooxygenase activity	-
Mhon_001120	Amiloride-sensitive sodium channel	-
Mhon_001121	ubiquinone binding	-
Mhon_001122	negative regulation of positive chemotaxis	sca
Mhon_001123	regulation of mRNA stability involved in response to stress	Imp
Mhon_001124	RNA recognition motif	-
Mhon_001125	DNA-binding transcription factor activity	-
Mhon_001131	Copper amine oxidase, N3 domain	-
Mhon_001132	histamine oxidase activity	-
Mhon_001134	Inositol hexakisphosphate kinase 1	-
Mhon_001135	Ubiquitin-conjugating enzyme E2, catalytic domain homologues	-
Mhon_001136	Enkurin, TRPC channel interacting protein	-
Mhon_001137	high mobility group	-
Mhon_001138	Zinc finger, SWIM-type containing 2	-
Mhon_001139	Ankyrin repeat	-
Mhon_001142	Ankyrin repeat	-
Mhon_001145	It is involved in the biological process described with protein phosphorylation	Cdk5
Mhon_001149	Sterol O-acyltransferase	-
Mhon_001150	Proposed nucleic acid binding domain	-
Mhon_001151	negative regulation of ATF6-mediated unfolded protein response	wfs1
Mhon_001152	Receptor	-
Mhon_001156	solute carrier family 22	-
Mhon_001157	organic anion transmembrane transporter activity	Orct
Mhon_001158	organic anion transmembrane transporter activity	Orct
Mhon_001160	ubiquitin-protein transferase activity	-
Mhon_001161	ring domain	brd-1
Mhon_001162	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	ATPsynbeta
Mhon_001163	Pyridoxine 5'-phosphate oxidase	-
Mhon_001167	Lipase	-
Mhon_001167	triglyceride lipase activity	-
Mhon_001168	Mediates sugar transport across membranes	swt-4
Mhon_001169	Testis-expressed sequence 10 protein	-
Mhon_001171	Coiled-coil domain containing 148	-
Mhon_001172	floor plate development	-
Mhon_001173	floor plate development	-
Mhon_001174	Alpha/beta hydrolase family	-
Mhon_001175	ATPase activity	wht-7
Mhon_001176	ATPase activity	wht-7
Mhon_001177	ATPase activity	wht-7
Mhon_001179	PYM homolog 1, exon junction complex associated factor	Pym
Mhon_001185	-	-
Mhon_001191	G-protein coupled receptor activity	-
Mhon_001201	nucleoside:sodium symporter activity	-
Mhon_001202	oxidoreductase activity	-
Mhon_001203	Cytochrome b-561 / ferric reductase transmembrane domain.	-
Mhon_001204	Elongator acetyltransferase complex subunit 2	-
Mhon_001205	Aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	Ssadh
Mhon_001206	Golgi vesicle prefusion complex stabilization	-
Mhon_001208	ubiquitin-dependent protein catabolic process via the N-end rule pathway	-
Mhon_001209	Belongs to the MIP aquaporin (TC 1.A.8) family	-
Mhon_001210	4-trimethylammoniobutyraldehyde dehydrogenase activity	-
Mhon_001211	Rho GTPase binding	-
Mhon_001212	mannose binding	-
Mhon_001213	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	-
Mhon_001219	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	-
Mhon_001220	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	-
Mhon_001225	nerve growth factor signaling pathway	-
Mhon_001226	26S proteasome non-ATPase regulatory subunit	rpn-6.1
Mhon_001227	alpha-(1->3)-fucosyltransferase activity	-
Mhon_001229	LanC lantibiotic synthetase component C-like	-
Mhon_001236	aminoacyl-tRNA editing activity	-
Mhon_001238	-	-
Mhon_001244	response to gravity	sup-26
Mhon_001249	carboxylic ester hydrolase activity	-
Mhon_001249	neurexin family protein binding	NLG-3
Mhon_001260	negative regulation of transcription, DNA-templated	-
Mhon_001261	transmembrane protein 198	-
Mhon_001261	Domain of unknown function (DUF4203)	-
Mhon_001268	-	-
Mhon_001269	-	-
Mhon_001270	SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein	-
Mhon_001271	single strand break repair	-
Mhon_001288	Fibrinogen-related domains (FReDs)	-
Mhon_001290	calcium-dependent carbohydrate binding	-
Mhon_001297	Erythrocyte membrane protein band 4.1 like	-
Mhon_001299	ATPase activity	wht-7
Mhon_001300	Component of the PeBoW complex, which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome	wdr-12
Mhon_001301	Component of the PeBoW complex, which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome	wdr-12
Mhon_001303	histone H4-K16 acetylation	-
Mhon_001303	PEHE	-
Mhon_001306	tachykinin receptor activity	-
Mhon_001309	Cyclic nucleotide-monophosphate binding domain	-
Mhon_001310	Fibrinogen-related domains (FReDs)	-
Mhon_001313	Bile acid CoA amino acid N-acyltransferase	-
Mhon_001315	F-box LRR-repeat protein 4	Fbxl4
Mhon_001316	Belongs to the enoyl-CoA hydratase isomerase family	ech-8
Mhon_001322	calcium-dependent cysteine-type endopeptidase activity	-
Mhon_001324	calcium-dependent cysteine-type endopeptidase activity	-
Mhon_001330	kinase 16	-
Mhon_001332	nucleic acid binding	-
Mhon_001333	pre-miRNA binding	-
Mhon_001334	Ricin-type beta-trefoil	gly-5
Mhon_001339	response to benomyl	-
Mhon_001342	Zona pellucida (ZP) domain	-
Mhon_001352	kinase 16	-
Mhon_001354	nucleic acid binding	-
Mhon_001357	pre-miRNA binding	-
Mhon_001358	Ricin-type beta-trefoil	gly-5
Mhon_001368	acetate CoA-transferase activity	-
Mhon_001372	nucleoside:sodium symporter activity	-
Mhon_001375	nucleoside:sodium symporter activity	-
Mhon_001380	Eukaryotic-type carbonic anhydrase	CAH1
Mhon_001398	RNA secondary structure unwinding	-
Mhon_001402	negative regulation of production of miRNAs involved in gene silencing by miRNA	-
Mhon_001404	It is involved in the biological process described with	-
Mhon_001411	ubiquitin protein ligase binding	cul-2
Mhon_001412	small GTPase mediated signal transduction	-
Mhon_001413	Ubiquitin protein ligase binding. It is involved in the biological process described with ubiquitin-dependent protein catabolic process	cul-2
Mhon_001414	antigen 1	-
Mhon_001415	small GTPase mediated signal transduction	-
Mhon_001422	-	-
Mhon_001423	protein O-linked glycosylation via threonine	-
Mhon_001427	RNA exonuclease 1 homolog	-
Mhon_001428	Mannose-6-phosphate receptor	-
Mhon_001429	Solute carrier family 1 (high affinity aspartate glutamate transporter), member 6	-
Mhon_001434	biogenesis of lysosome-related organelles complex 1 subunit	-
Mhon_001441	Porphobilinogen deaminase	-
Mhon_001442	Sorting nexin 13	-
Mhon_001443	Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins	Nmt
Mhon_001444	calcium ion binding	-
Mhon_001446	dephospho-CoA kinase activity	-
Mhon_001447	RNA binding motif protein 48	-
Mhon_001461	this phosphorylation event is a prerequisite for the subsequent ligation of the two exon halves and the production of a mature tRNA. Component of the pre-mRNA cleavage complex II (CF-II), which seems to be required for mRNA 3'-end formation. Also phosphorylates the 5'-terminus of exogenously introduced short interfering RNAs (siRNAs), which is a necessary prerequisite for their incorporation into the RNA- induced silencing complex (RISC). However, endogenous siRNAs and microRNAs (miRNAs) that are produced by the cleavage of dsRNA precursors by DICER1 already contain a 5'-phosphate group, so this protein may be dispensible for normal RNA-mediated gene silencing	cbc
Mhon_001463	negative regulation of inclusion body assembly	-
Mhon_001464	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	lsn
Mhon_001468	spermatid differentiation	-
Mhon_001469	spermatid differentiation	-
Mhon_001470	2 iron, 2 sulfur cluster binding	-
Mhon_001473	Myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	zfp-1
Mhon_001484	MOB family member 4, phocein	Mob4
Mhon_001485	ribosomal protein	RpL27
Mhon_001489	secernin	-
Mhon_001490	ribosomal protein	RpL27
Mhon_001491	MOB family member 4, phocein	Mob4
Mhon_001495	Hormone receptor domain	pdfr-1
Mhon_001496	Kelch motif	-
Mhon_001497	negative regulation of cell proliferation	-
Mhon_001498	7 transmembrane receptor (Secretin family)	pdfr-1
Mhon_001500	negative regulation of cell proliferation	-
Mhon_001502	Mannose-6-phosphate receptor	-
Mhon_001508	negative regulation of entry of bacterium into host cell	pat-2
Mhon_001508	integrin-mediated signaling pathway	pat-2
Mhon_001513	rRNA base methylation	nsun-5
Mhon_001515	Prolyl 4-hydroxylase alpha subunit homologues.	-
Mhon_001517	-	-
Mhon_001518	Protein of unknown function (DUF563)	-
Mhon_001524	calcitonin receptor activity	GPRCAL2
Mhon_001526	phosphorylation of RNA polymerase II C-terminal domain	-
Mhon_001527	inositol	-
Mhon_001533	negative regulation of BMP signaling pathway	-
Mhon_001538	cAMP-dependent protein kinase regulator activity	-
Mhon_001540	neuromedin U receptor activity	GPRGHP2
Mhon_001545	receptor	-
Mhon_001549	adenylate cyclase-activating G-protein coupled receptor signaling pathway	-
Mhon_001552	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	-
Mhon_001558	Vesicle-trafficking protein SEC22a	-
Mhon_001561	Family with sequence similarity 117 member B	-
Mhon_001562	N(6)-L-threonylcarbamoyladenine synthase activity	-
Mhon_001563	Glycyl-tRNA synthetase	Aats-gly
Mhon_001564	zinc finger	-
Mhon_001565	formimidoyltetrahydrofolate cyclodeaminase activity	-
Mhon_001585	Patatin-like phospholipase	-
Mhon_001587	Patatin-like phospholipase	-
Mhon_001588	phosphoglycerate dehydrogenase activity	-
Mhon_001590	Solute carrier family 1 (glial high affinity glutamate transporter), member 3a	-
Mhon_001591	Neurotransmitter-gated ion-channel transmembrane region	lgc-4
Mhon_001598	Patatin-like phospholipase	-
Mhon_001599	Patatin-like phospholipase	-
Mhon_001600	arachidonate 5-lipoxygenase activity	-
Mhon_001601	Patatin-like phospholipase	-
Mhon_001602	ATP binding. It is involved in the biological process described with protein refolding	-
Mhon_001603	protein import into mitochondrial intermembrane space	-
Mhon_001604	60 kDa heat shock protein	-
Mhon_001605	arachidonate 5-lipoxygenase activity	-
Mhon_001607	protein import into mitochondrial intermembrane space	-
Mhon_001608	10 kDa heat shock protein	-
Mhon_001632	acid phosphatase activity	-
Mhon_001635	hydroxyacylglutathione hydrolase activity	-
Mhon_001636	heme-transporting ATPase activity	Hmt-1
Mhon_001639	-	-
Mhon_001641	Integral membrane protein DUF92	-
Mhon_001652	helicase activity	ddx23
Mhon_001653	UMP kinase activity	-
Mhon_001654	UMP kinase activity	-
Mhon_001659	acetylcholine-gated cation-selective channel activity	-
Mhon_001663	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)	-
Mhon_001666	glutamate receptor	-
Mhon_001669	Ankyrin repeat and zinc finger	vms-1
Mhon_001672	mitochondria-associated ubiquitin-dependent protein catabolic process	vms-1
Mhon_001676	Transforming growth  factor-beta (TGF-beta) family	-
Mhon_001677	Transforming growth  factor-beta (TGF-beta) family	-
Mhon_001678	Family with sequence similarity 206 member A	-
Mhon_001681	Replication timing regulatory factor 1	-
Mhon_001688	nucleoside:sodium symporter activity	-
Mhon_001690	nucleoside:sodium symporter activity	-
Mhon_001695	Belongs to the multicopper oxidase family	-
Mhon_001699	Multicopper oxidase	-
Mhon_001702	Multicopper oxidase	-
Mhon_001703	Belongs to the multicopper oxidase family	-
Mhon_001704	7 transmembrane receptor (Secretin family)	-
Mhon_001730	Tyrosine-protein kinase	csk-1
Mhon_001739	dipeptidase activity	-
Mhon_001741	Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family	-
Mhon_001742	peroxidase activity	-
Mhon_001743	Domain of unknown function (DUF4207)	-
Mhon_001748	translation activator activity	-
Mhon_001754	Multicopper oxidase	-
Mhon_001755	Belongs to the multicopper oxidase family	-
Mhon_001768	heparan-alpha-glucosaminide N-acetyltransferase activity	-
Mhon_001769	Fucosyltransferase activity. It is involved in the biological process described with protein glycosylation	FucTA
Mhon_001776	Heparan-alpha-glucosaminide N-acetyltransferase	-
Mhon_001779	heparan-alpha-glucosaminide N-acetyltransferase activity	-
Mhon_001786	iron assimilation by reduction and transport	-
Mhon_001789	Belongs to the multicopper oxidase family	-
Mhon_001790	-	-
Mhon_001791	mitochondrial fusion	-
Mhon_001794	Glutathione S-transferase, C-terminal domain	-
Mhon_001795	nucleoside:sodium symporter activity	-
Mhon_001796	Solute carrier family 28	-
Mhon_001797	nucleoside:sodium symporter activity	-
Mhon_001800	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1	PAN2
Mhon_001809	COMM domain containing 3	-
Mhon_001812	Multicopper oxidase	-
Mhon_001813	Multicopper oxidase	-
Mhon_001818	extracellular ligand-gated ion channel activity	-
Mhon_001819	Broad-Complex, Tramtrack and Bric a brac	-
